amount,contributor_name,date,honoree_name,state,country
2000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-04-11,U.S. Representative Mike Pompeo,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-13,U.S. Representative Charles Boustany,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-06-17,Senator Mary Landrieu,VA,US
2000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-20,U.S. Representative Kevin Cramer,VA,US
2500.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-03-18,Senator Mary Landrieu,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-16,Senator Tim Scott,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-03-28,Western Energy Alliance,VA,US
2500.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-02-27,Independent Petroleum Association of America,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-16,U.S. Representative Scott Tipton,VA,US
2000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-13,U.S. Representative Tim Murphy,VA,US
5000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-02-27,Blue Dog Political Action Committee,VA,US
5000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-03-18,U.S. Representative Fred Upton,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-06-18,Senator Jim Inhofe,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-06-10,Senator Mark Udall,VA,US
2500.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-13,Senator Mark Begich,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-28,U.S. Representative James Lankford,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-06-27,U.S. Representative Doug Lamborn,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-05-28,U.S. Representative Tom Cole,VA,US
1000.00,"WPX ENERGY, INC. POLITICAL ACTION COMMITTEE",2013-03-25,U.S. Representative Kevin Brady,VA,US
1000.00,M J SIMON & COMPANY LLC,2013-06-28,Democratic Senatorial Campaign Committee,DC,US
1000.00,"SIMON, MARSHA",2013-06-28,Democratic Senatorial Campaign Committee,DC,US
1000.00,PASS PAC,2013-06-20,Paul Tonko,DC,US
1500.00,PASS PAC,2013-05-01,Steny Hoyer,DC,US
1000.00,PASS PAC,2013-05-30,Ed Markey,DC,US
1000.00,PASS PAC,2013-05-01,Sean Maloney,DC,US
1000.00,PASS PAC,2013-03-25,Dan Lipinski,DC,US
2000.00,PASS PAC,2013-05-02,Elizabeth Colbert Busch,DC,US
1000.00,PASS PAC,2013-03-28,Mike Michaud,DC,US
1000.00,PASS PAC,2013-05-29,Cedric Richmond,DC,US
1000.00,PASS PAC,2013-06-28,Adam Kinzinger,DC,US
1000.00,PASS PAC,2013-06-20,Janice Hahn,DC,US
1000.00,PASS PAC,2013-03-05,Andre Carson,DC,US
1000.00,PASS PAC,2013-05-02,Matt Cartwright,DC,US
2000.00,PASS PAC,2013-05-02,Nita Lowey,DC,US
2000.00,PASS PAC,2013-06-20,Ann Kirkpatrick,DC,US
1500.00,PASS PAC,2013-05-02,Mark Pryor,DC,US
1000.00,PASS PAC,2013-05-31,Tom Udall,DC,US
1500.00,PASS PAC,2013-06-20,Thomas Latham,DC,US
2500.00,PASS PAC,2013-03-05,Nick Rahall,DC,US
1000.00,PASS PAC,2013-05-02,Mark Pocan,DC,US
1000.00,PASS PAC,2013-06-20,Ed Markey,DC,US
1000.00,PASS PAC,2013-03-25,Michael Capuano,DC,US
1000.00,PASS PAC,2013-03-25,William Enyart,DC,US
1000.00,PASS PAC,2013-03-25,Tammy Duckworth,DC,US
1500.00,PASS PAC,2013-03-25,Louise Slaughter,DC,US
1000.00,PASS PAC,2013-03-05,Gerry Connolly,DC,US
1000.00,PASS PAC,2013-06-20,Mark Udall,DC,US
1500.00,PASS PAC,2013-03-25,Rick Larsen,DC,US
1000.00,PASS PAC,2013-06-24,Andre Carson,DC,US
1000.00,PASS PAC,2013-03-25,Dave Joyce,DC,US
