Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
1251,S000785,"Stallings, Richard H.",Democratic,Idaho,https://api.congress.gov/v3/member/S000785?format=json,2.0,,,1985.0,1993.0,,N,,8.0,N,Y,U,48
1252,S000778,"Staggers, Harley O.",Democratic,West Virginia,https://api.congress.gov/v3/member/S000778?format=json,2.0,,,1949.0,1981.0,,N,,32.0,N,Y,U,440
1253,S000779,"Staggers, Harley O., Jr.",Democratic,West Virginia,https://api.congress.gov/v3/member/S000779?format=json,2.0,,,1983.0,1993.0,,N,,10.0,N,Y,U,62
1254,S000772,"Stack, Edward J.",Democratic,Florida,https://api.congress.gov/v3/member/S000772?format=json,12.0,,,1979.0,1981.0,,N,,2.0,N,Y,U,8
1255,S000762,"St Germain, Fernand J.",Democratic,Rhode Island,https://api.congress.gov/v3/member/S000762?format=json,1.0,,,1961.0,1989.0,,N,,28.0,N,Y,U,443
1256,S000749,"Spratt, John M., Jr.",Democratic,South Carolina,https://api.congress.gov/v3/member/S000749?format=json,5.0,,,1983.0,2011.0,,N,,28.0,N,Y,U,162
1257,S000718,"Spence, Floyd",Republican,South Carolina,https://api.congress.gov/v3/member/S000718?format=json,2.0,,,1971.0,2001.0,,N,,30.0,N,Y,U,143
1258,S000716,"Spellman, Gladys Noon",Democratic,Maryland,https://api.congress.gov/v3/member/S000716?format=json,5.0,,,1975.0,1983.0,,N,,8.0,N,Y,U,248
1259,S001143,"Souder, Mark E.",Republican,Indiana,https://api.congress.gov/v3/member/S001143?format=json,3.0,,,1995.0,2010.0,,N,,15.0,N,Y,U,126
1260,S000675,"Solomon, Gerald B. H.",Republican,New York,https://api.congress.gov/v3/member/S000675?format=json,22.0,,,1979.0,1999.0,,N,,20.0,N,Y,U,858
1261,S000673,"Solarz, Stephen J.",Democratic,New York,https://api.congress.gov/v3/member/S000673?format=json,13.0,,,1975.0,1993.0,,N,,18.0,N,Y,U,387
1262,S000669,"Snyder, M. G. (Gene)",Republican,Kentucky,https://api.congress.gov/v3/member/S000669?format=json,4.0,,,1963.0,1965.0,,N,,2.0,N,Y,U,102
1263,S000663,"Snowe, Olympia J.",Republican,Maine,https://api.congress.gov/v3/member/S000663?format=json,,2013.0,1995.0,1979.0,1995.0,N,N,18.0,16.0,Y,Y,U,1405
1264,S000622,"Smith, Virginia",Republican,Nebraska,https://api.congress.gov/v3/member/S000622?format=json,3.0,,,1975.0,1991.0,,N,,16.0,N,Y,U,223
1265,S000607,"Smith, Robert",Republican,Oregon,https://api.congress.gov/v3/member/S000607?format=json,2.0,,,1983.0,1995.0,,N,,12.0,N,Y,U,95
1266,S000606,"Smith, Bob",Republican,New Hampshire,https://api.congress.gov/v3/member/S000606?format=json,,2003.0,1991.0,1985.0,1991.0,N,N,12.0,6.0,Y,Y,U,426
1267,S000601,"Smith, Peter",Republican,Vermont,https://api.congress.gov/v3/member/S000601?format=json,,,,1989.0,1991.0,,N,,2.0,N,Y,U,13
1268,S000597,"Smith, Nick",Republican,Michigan,https://api.congress.gov/v3/member/S000597?format=json,7.0,,,1993.0,2005.0,,N,,12.0,N,Y,U,200
1269,S000596,"Smith, Neal Edward",Democratic,Iowa,https://api.congress.gov/v3/member/S000596?format=json,4.0,,,1959.0,1995.0,,N,,36.0,N,Y,U,300
1270,S000587,"Smith, Linda",Republican,Washington,https://api.congress.gov/v3/member/S000587?format=json,3.0,,,1995.0,1999.0,,N,,4.0,N,Y,U,31
1271,S000586,"Smith, Lawrence",Democratic,Florida,https://api.congress.gov/v3/member/S000586?format=json,16.0,,,1983.0,1993.0,,N,,10.0,N,Y,U,105
1272,S000584,"Smith, Larkin",Republican,Mississippi,https://api.congress.gov/v3/member/S000584?format=json,5.0,,,1989.0,1991.0,,N,,2.0,N,Y,U,2
