Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Gender,Bill
501,B001292,"Beyer, Donald S., Jr.",Democratic,Virginia,https://api.congress.gov/v3/member/B001292?format=json,8.0,,,2015.0,,M,169.0
502,L000584,"Love, Mia B.",Republican,Utah,https://api.congress.gov/v3/member/L000584?format=json,4.0,,,2015.0,2019.0,F,34.0
503,B001291,"Babin, Brian",Republican,Texas,https://api.congress.gov/v3/member/B001291?format=json,36.0,,,2015.0,,M,80.0
504,H001073,"Hurd, Will",Republican,Texas,https://api.congress.gov/v3/member/H001073?format=json,23.0,,,2015.0,2021.0,M,44.0
505,R000601,"Ratcliffe, John",Republican,Texas,https://api.congress.gov/v3/member/R000601?format=json,4.0,,,2015.0,2020.0,M,51.0
506,B001296,"Boyle, Brendan F.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/B001296?format=json,2.0,,,2015.0,,M,96.0
507,C001106,"Costello, Ryan A.",Republican,Pennsylvania,https://api.congress.gov/v3/member/C001106?format=json,6.0,,,2015.0,2019.0,M,20.0
508,R000604,"Russell, Steve",Republican,Oklahoma,https://api.congress.gov/v3/member/R000604?format=json,5.0,,,2015.0,2019.0,M,46.0
509,S001196,"Stefanik, Elise M.",Republican,New York,https://api.congress.gov/v3/member/S001196?format=json,21.0,,,2015.0,,F,129.0
510,H001070,"Hardy, Cresent",Republican,Nevada,https://api.congress.gov/v3/member/H001070?format=json,4.0,,,2015.0,2017.0,M,16.0
511,W000822,"Watson Coleman, Bonnie",Democratic,New Jersey,https://api.congress.gov/v3/member/W000822?format=json,12.0,,,2015.0,,F,120.0
512,M001193,"MacArthur, Thomas",Republican,New Jersey,https://api.congress.gov/v3/member/M001193?format=json,3.0,,,2015.0,2019.0,M,44.0
513,A000373,"Ashford, Brad",Democratic,Nebraska,https://api.congress.gov/v3/member/A000373?format=json,2.0,,,2015.0,2017.0,M,11.0
514,R000603,"Rouzer, David",Republican,North Carolina,https://api.congress.gov/v3/member/R000603?format=json,7.0,,,2015.0,,M,56.0
515,W000819,"Walker, Mark",Republican,North Carolina,https://api.congress.gov/v3/member/W000819?format=json,6.0,,,2015.0,2021.0,M,50.0
516,E000294,"Emmer, Tom",Republican,Minnesota,https://api.congress.gov/v3/member/E000294?format=json,6.0,,,2015.0,,M,110.0
517,D000624,"Dingell, Debbie",Democratic,Michigan,https://api.congress.gov/v3/member/D000624?format=json,6.0,,,2015.0,,F,155.0
518,T000475,"Trott, David A.",Republican,Michigan,https://api.congress.gov/v3/member/T000475?format=json,11.0,,,2015.0,2019.0,M,21.0
519,B001293,"Bishop, Mike",Republican,Michigan,https://api.congress.gov/v3/member/B001293?format=json,8.0,,,2015.0,2019.0,M,30.0
520,M001194,"Moolenaar, John R.",Republican,Michigan,https://api.congress.gov/v3/member/M001194?format=json,2.0,,,2015.0,,M,40.0
521,P000611,"Poliquin, Bruce",Republican,Maine,https://api.congress.gov/v3/member/P000611?format=json,2.0,,,2015.0,2019.0,M,43.0
