Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
1501,M000512,"McKernan, John R., Jr.",Republican,Maine,https://api.congress.gov/v3/member/M000512?format=json,1.0,,,1983.0,1987.0,,N,,4.0,N,Y,U,27.0
1502,M000508,"McKeon, Howard P. ""Buck""",Republican,California,https://api.congress.gov/v3/member/M000508?format=json,25.0,,,1993.0,2015.0,,N,,22.0,N,Y,U,183.0
1503,M000490,"McKay, K. Gunn",Democratic,Utah,https://api.congress.gov/v3/member/M000490?format=json,1.0,,,1971.0,1981.0,,N,,10.0,N,Y,U,57.0
1504,M000481,"McIntosh, David M.",Republican,Indiana,https://api.congress.gov/v3/member/M000481?format=json,2.0,,,1995.0,2001.0,,N,,6.0,N,Y,U,48.0
1505,M000477,"McInnis, Scott",Republican,Colorado,https://api.congress.gov/v3/member/M000477?format=json,3.0,,,1993.0,2005.0,,N,,12.0,N,Y,U,142.0
1506,M000473,"McHugh, Matthew F.",Democratic,New York,https://api.congress.gov/v3/member/M000473?format=json,28.0,,,1975.0,1993.0,,N,,18.0,N,Y,U,53.0
1507,M000466,"McHale, Paul",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M000466?format=json,15.0,,,1993.0,1999.0,,N,,6.0,N,Y,U,41.0
1508,M000458,"McGrath, Raymond J.",Republican,New York,https://api.congress.gov/v3/member/M000458?format=json,5.0,,,1981.0,1993.0,,N,,12.0,N,Y,U,90.0
1509,M000436,"McFall, John J.",Democratic,California,https://api.congress.gov/v3/member/M000436?format=json,14.0,,,1957.0,1979.0,,N,,22.0,N,Y,U,166.0
1510,M000433,"McEwen, Robert C.",Republican,New York,https://api.congress.gov/v3/member/M000433?format=json,30.0,,,1965.0,1981.0,,N,,16.0,N,Y,U,40.0
1511,M000432,"McEwen, Bob",Republican,Ohio,https://api.congress.gov/v3/member/M000432?format=json,6.0,,,1981.0,1993.0,,N,,12.0,N,Y,U,180.0
1512,M000413,"McDonald, Lawrence P.",Democratic,Georgia,https://api.congress.gov/v3/member/M000413?format=json,7.0,,,1975.0,1985.0,,N,,10.0,N,Y,U,180.0
1513,M000404,"McDermott, Jim",Democratic,Washington,https://api.congress.gov/v3/member/M000404?format=json,7.0,,,1989.0,2017.0,,N,,28.0,N,Y,U,342.0
1514,M000399,"McDade, Joseph M.",Republican,Pennsylvania,https://api.congress.gov/v3/member/M000399?format=json,10.0,,,1963.0,1999.0,,N,,36.0,N,Y,U,324.0
1515,M000398,"McCurdy, Dave",Democratic,Oklahoma,https://api.congress.gov/v3/member/M000398?format=json,4.0,,,1981.0,1995.0,,N,,14.0,N,Y,U,71.0
1516,M000388,"McCrery, Jim",Republican,Louisiana,https://api.congress.gov/v3/member/M000388?format=json,4.0,,,1987.0,2011.0,,N,,24.0,N,Y,U,121.0
