Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
751,S001169,"Sestak, Joe",Democratic,Pennsylvania,https://api.congress.gov/v3/member/S001169?format=json,7.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,98
752,A000362,"Altmire, Jason",Democratic,Pennsylvania,https://api.congress.gov/v3/member/A000362?format=json,4.0,,,2007.0,2013.0,,N,,6.0,N,Y,M,67
753,F000453,"Fallin, Mary",Republican,Oklahoma,https://api.congress.gov/v3/member/F000453?format=json,5.0,,,2007.0,2011.0,,N,,4.0,N,Y,F,17
754,S001173,"Space, Zachary T.",Democratic,Ohio,https://api.congress.gov/v3/member/S001173?format=json,18.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,55
755,S001174,"Sutton, Betty",Democratic,Ohio,https://api.congress.gov/v3/member/S001174?format=json,13.0,,,2007.0,2013.0,,N,,6.0,N,Y,F,66
756,W000801,"Wilson, Charles A.",Democratic,Ohio,https://api.congress.gov/v3/member/W000801?format=json,6.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,17
757,J000289,"Jordan, Jim",Republican,Ohio,https://api.congress.gov/v3/member/J000289?format=json,4.0,,,2007.0,,,Y,,16.0,N,Y,M,52
758,A000363,"Arcuri, Michael A.",Democratic,New York,https://api.congress.gov/v3/member/A000363?format=json,24.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,75
759,H001039,"Hall, John J.",Democratic,New York,https://api.congress.gov/v3/member/H001039?format=json,19.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,46
760,C001067,"Clarke, Yvette D.",Democratic,New York,https://api.congress.gov/v3/member/C001067?format=json,9.0,,,2007.0,,,Y,,16.0,N,Y,F,164
761,H001041,"Heller, Dean",Republican,Nevada,https://api.congress.gov/v3/member/H001041?format=json,,2019.0,2011.0,2007.0,2011.0,N,N,8.0,4.0,Y,Y,M,488
762,H001043,"Hodes, Paul W.",Democratic,New Hampshire,https://api.congress.gov/v3/member/H001043?format=json,2.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,55
763,S001170,"Shea-Porter, Carol",Democratic,New Hampshire,https://api.congress.gov/v3/member/S001170?format=json,1.0,,,2007.0,2011.0,,N,,4.0,N,Y,F,104
764,S001172,"Smith, Adrian",Republican,Nebraska,https://api.congress.gov/v3/member/S001172?format=json,3.0,,,2007.0,,,Y,,16.0,N,Y,M,84
765,S001171,"Shuler, Heath",Democratic,North Carolina,https://api.congress.gov/v3/member/S001171?format=json,11.0,,,2007.0,2013.0,,N,,6.0,N,Y,M,44
766,B001256,"Bachmann, Michele",Republican,Minnesota,https://api.congress.gov/v3/member/B001256?format=json,6.0,,,2007.0,2015.0,,N,,8.0,N,Y,F,67
767,E000288,"Ellison, Keith",Democratic,Minnesota,https://api.congress.gov/v3/member/E000288?format=json,5.0,,,2007.0,2019.0,,N,,12.0,N,Y,M,256
768,W000799,"Walz, Timothy J.",Democratic,Minnesota,https://api.congress.gov/v3/member/W000799?format=json,1.0,,,2007.0,2019.0,,N,,12.0,N,Y,M,85
769,W000798,"Walberg, Tim",Republican,Michigan,https://api.congress.gov/v3/member/W000798?format=json,5.0,,,2007.0,2009.0,,N,,2.0,N,Y,M,179
770,S001168,"Sarbanes, John P.",Democratic,Maryland,https://api.congress.gov/v3/member/S001168?format=json,3.0,,,2007.0,,,Y,,16.0,N,Y,M,94
771,B001258,"Boyda, Nancy E.",Democratic,Kansas,https://api.congress.gov/v3/member/B001258?format=json,2.0,,,2007.0,2009.0,,N,,2.0,N,Y,F,19
772,E000289,"Ellsworth, Brad",Democratic,Indiana,https://api.congress.gov/v3/member/E000289?format=json,8.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,34
773,D000607,"Donnelly, Joe",Democratic,Indiana,https://api.congress.gov/v3/member/D000607?format=json,,2019.0,2013.0,2007.0,2013.0,N,N,6.0,6.0,Y,Y,M,174
774,H001040,"Hare, Phil",Democratic,Illinois,https://api.congress.gov/v3/member/H001040?format=json,17.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,34
775,R000580,"Roskam, Peter J.",Republican,Illinois,https://api.congress.gov/v3/member/R000580?format=json,6.0,,,2007.0,2019.0,,N,,12.0,N,Y,M,120
776,S001167,"Sali, Bill",Republican,Idaho,https://api.congress.gov/v3/member/S001167?format=json,1.0,,,2007.0,2009.0,,N,,2.0,N,Y,M,20
777,L000565,"Loebsack, David",Democratic,Iowa,https://api.congress.gov/v3/member/L000565?format=json,2.0,,,2007.0,2021.0,,N,,14.0,N,Y,M,121
778,B001259,"Braley, Bruce L.",Democratic,Iowa,https://api.congress.gov/v3/member/B001259?format=json,1.0,,,2007.0,2015.0,,N,,8.0,N,Y,M,114
779,J000288,"Johnson, Henry C. ""Hank,"" Jr.",Democratic,Georgia,https://api.congress.gov/v3/member/J000288?format=json,4.0,,,2007.0,,,Y,,16.0,N,Y,M,218
780,K000366,"Klein, Ron",Democratic,Florida,https://api.congress.gov/v3/member/K000366?format=json,22.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,39
781,M001164,"Mahoney, Tim",Democratic,Florida,https://api.congress.gov/v3/member/M001164?format=json,16.0,,,2007.0,2009.0,,N,,2.0,N,Y,M,18
782,B001260,"Buchanan, Vern",Republican,Florida,https://api.congress.gov/v3/member/B001260?format=json,16.0,,,2007.0,,,Y,,16.0,N,Y,M,147
783,C001066,"Castor, Kathy",Democratic,Florida,https://api.congress.gov/v3/member/C001066?format=json,14.0,,,2007.0,,,Y,,16.0,N,Y,F,172
784,B001257,"Bilirakis, Gus M.",Republican,Florida,https://api.congress.gov/v3/member/B001257?format=json,12.0,,,2007.0,,,Y,,16.0,N,Y,M,245
785,C001069,"Courtney, Joe",Democratic,Connecticut,https://api.congress.gov/v3/member/C001069?format=json,2.0,,,2007.0,,,Y,,16.0,N,Y,M,156
786,L000564,"Lamborn, Doug",Republican,Colorado,https://api.congress.gov/v3/member/L000564?format=json,5.0,,,2007.0,,,Y,,16.0,N,Y,M,171
787,M001165,"McCarthy, Kevin",Republican,California,https://api.congress.gov/v3/member/M001165?format=json,20.0,,,2007.0,,,Y,,16.0,N,Y,M,120
788,G000554,"Giffords, Gabrielle",Democratic,Arizona,https://api.congress.gov/v3/member/G000554?format=json,8.0,,,2007.0,2012.0,,N,,5.0,N,Y,F,61
789,M001167,"Mitchell, Harry E.",Democratic,Arizona,https://api.congress.gov/v3/member/M001167?format=json,5.0,,,2007.0,2011.0,,N,,4.0,N,Y,M,23
790,Q000023,"Quigley, Mike",Democratic,Illinois,https://api.congress.gov/v3/member/Q000023?format=json,5.0,,,2009.0,,,Y,,14.0,N,Y,M,174
791,S001153,"Solis, Hilda L.",Democratic,California,https://api.congress.gov/v3/member/S001153?format=json,32.0,,,2001.0,2009.0,,N,,8.0,N,Y,U,76
792,M001178,"Murphy, Scott",Democratic,New York,https://api.congress.gov/v3/member/M001178?format=json,20.0,,,2009.0,2011.0,,N,,2.0,N,Y,M,19
793,C001078,"Connolly, Gerald E.",Democratic,Virginia,https://api.congress.gov/v3/member/C001078?format=json,11.0,,,2009.0,,,Y,,14.0,N,Y,M,293
794,P000600,"Perriello, Thomas S.P.",Democratic,Virginia,https://api.congress.gov/v3/member/P000600?format=json,5.0,,,2009.0,2011.0,,N,,2.0,N,Y,M,25
795,N000183,"Nye, Glenn C.",Democratic,Virginia,https://api.congress.gov/v3/member/N000183?format=json,2.0,,,2009.0,2011.0,,N,,2.0,N,Y,U,26
796,C001076,"Chaffetz, Jason",Republican,Utah,https://api.congress.gov/v3/member/C001076?format=json,3.0,,,2009.0,2017.0,,N,,8.0,N,Y,M,153
797,O000168,"Olson, Pete",Republican,Texas,https://api.congress.gov/v3/member/O000168?format=json,22.0,,,2009.0,2021.0,,N,,12.0,N,Y,M,99
798,R000582,"Roe, David P.",Republican,Tennessee,https://api.congress.gov/v3/member/R000582?format=json,1.0,,,2009.0,2021.0,,N,,12.0,N,Y,M,144
799,P000596,"Pierluisi, Pedro R.",Democratic,Puerto Rico,https://api.congress.gov/v3/member/P000596?format=json,,,,2009.0,2017.0,,N,,8.0,N,Y,M,63
800,T000467,"Thompson, Glenn",Republican,Pennsylvania,https://api.congress.gov/v3/member/T000467?format=json,15.0,,,2009.0,,,Y,,14.0,N,Y,M,104
801,D000608,"Dahlkemper, Kathleen A.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/D000608?format=json,3.0,,,2009.0,2011.0,,N,,2.0,N,Y,F,24
802,B001263,"Boccieri, John A.",Democratic,Ohio,https://api.congress.gov/v3/member/B001263?format=json,16.0,,,2009.0,2011.0,,N,,2.0,N,Y,M,13
803,K000372,"Kilroy, Mary Jo",Democratic,Ohio,https://api.congress.gov/v3/member/K000372?format=json,15.0,,,2009.0,2011.0,,N,,2.0,N,Y,F,21
804,A000365,"Austria, Steve",Republican,Ohio,https://api.congress.gov/v3/member/A000365?format=json,7.0,,,2009.0,2013.0,,N,,4.0,N,Y,M,7
