Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
1001,S000344,"Sherman, Brad",Democratic,California,https://api.congress.gov/v3/member/S000344?format=json,32.0,,,1997.0,,,Y,,26.0,N,Y,U,204.0
1002,S000250,"Sessions, Pete",Republican,Texas,https://api.congress.gov/v3/member/S000250?format=json,17.0,,,1997.0,2019.0,,N,,22.0,N,Y,U,423.0
1003,S000112,"Schaffer, Bob",Republican,Colorado,https://api.congress.gov/v3/member/S000112?format=json,4.0,,,1997.0,2003.0,,N,,6.0,N,Y,U,49.0
1004,S000044,"Sandlin, Max",Democratic,Texas,https://api.congress.gov/v3/member/S000044?format=json,1.0,,,1997.0,2005.0,,N,,8.0,N,Y,U,25.0
1005,S000030,"Sanchez, Loretta",Democratic,California,https://api.congress.gov/v3/member/S000030?format=json,46.0,,,1997.0,2017.0,,N,,20.0,N,Y,U,139.0
1006,R000566,"Ryun, Jim",Republican,Kansas,https://api.congress.gov/v3/member/R000566?format=json,2.0,,,1997.0,2007.0,,N,,10.0,N,Y,U,85.0
1007,R000462,"Rothman, Steven R.",Democratic,New Jersey,https://api.congress.gov/v3/member/R000462?format=json,9.0,,,1997.0,2013.0,,N,,16.0,N,Y,U,117.0
1008,R000386,"Rogan, James E.",Republican,California,https://api.congress.gov/v3/member/R000386?format=json,27.0,,,1997.0,2001.0,,N,,4.0,N,Y,U,34.0
1009,R000568,"Rodriguez, Ciro D.",Democratic,Texas,https://api.congress.gov/v3/member/R000568?format=json,23.0,,,1997.0,2005.0,,N,,8.0,N,Y,U,77.0
1010,R000258,"Riley, Bob",Republican,Alabama,https://api.congress.gov/v3/member/R000258?format=json,3.0,,,1997.0,2003.0,,N,,6.0,N,Y,U,20.0
1011,R000170,"Reyes, Silvestre",Democratic,Texas,https://api.congress.gov/v3/member/R000170?format=json,16.0,,,1997.0,2013.0,,N,,16.0,N,Y,U,119.0
1012,R000567,"Redmond, Bill",Republican,New Mexico,https://api.congress.gov/v3/member/R000567?format=json,3.0,,,1997.0,1999.0,,N,,2.0,N,Y,U,13.0
1013,P000373,"Pitts, Joseph R.",Republican,Pennsylvania,https://api.congress.gov/v3/member/P000373?format=json,16.0,,,1997.0,2017.0,,N,,20.0,N,Y,U,178.0
1014,P000323,"Pickering, Charles W. ""Chip""",Republican,Mississippi,https://api.congress.gov/v3/member/P000323?format=json,3.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,67.0
1015,P000263,"Peterson, John E.",Republican,Pennsylvania,https://api.congress.gov/v3/member/P000263?format=json,5.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,62.0
1016,P000171,"Pease, Edward A.",Republican,Indiana,https://api.congress.gov/v3/member/P000171?format=json,7.0,,,1997.0,2001.0,,N,,4.0,N,Y,U,6.0
1017,P000096,"Pascrell, Bill, Jr.",Democratic,New Jersey,https://api.congress.gov/v3/member/P000096?format=json,9.0,,,1997.0,,,Y,,26.0,N,Y,U,342.0
1018,P000049,"Pappas, Michael",Republican,New Jersey,https://api.congress.gov/v3/member/P000049?format=json,12.0,,,1997.0,1999.0,,N,,2.0,N,Y,U,10.0
1019,N000143,"Northup, Anne M.",Republican,Kentucky,https://api.congress.gov/v3/member/N000143?format=json,3.0,,,1997.0,2007.0,,N,,10.0,N,Y,U,14.0
1020,M001137,"Meeks, Gregory W.",Democratic,New York,https://api.congress.gov/v3/member/M001137?format=json,5.0,,,1997.0,,,Y,,26.0,N,Y,U,183.0
1021,M000485,"McIntyre, Mike",Democratic,North Carolina,https://api.congress.gov/v3/member/M000485?format=json,7.0,,,1997.0,2015.0,,N,,18.0,N,Y,U,79.0
1022,M000312,"McGovern, James P.",Democratic,Massachusetts,https://api.congress.gov/v3/member/M000312?format=json,2.0,,,1997.0,,,Y,,26.0,N,Y,U,385.0
1023,M000309,"McCarthy, Carolyn",Democratic,New York,https://api.congress.gov/v3/member/M000309?format=json,4.0,,,1997.0,2015.0,,N,,18.0,N,Y,U,228.0
1024,M000090,"Maloney, James H.",Democratic,Connecticut,https://api.congress.gov/v3/member/M000090?format=json,5.0,,,1997.0,2003.0,,N,,6.0,N,Y,U,27.0
1025,L000551,"Lee, Barbara",Democratic,California,https://api.congress.gov/v3/member/L000551?format=json,12.0,,,1997.0,,,Y,,26.0,N,Y,U,628.0
1026,L000043,"Lampson, Nick",Democratic,Texas,https://api.congress.gov/v3/member/L000043?format=json,22.0,,,1997.0,2005.0,,N,,8.0,N,Y,U,87.0
1027,K000336,"Kucinich, Dennis J.",Democratic,Ohio,https://api.congress.gov/v3/member/K000336?format=json,10.0,,,1997.0,2013.0,,N,,16.0,N,Y,U,236.0
1028,K000180,"Kilpatrick, Carolyn C.",Democratic,Michigan,https://api.congress.gov/v3/member/K000180?format=json,13.0,,,1997.0,2011.0,,N,,14.0,N,Y,U,56.0
1029,J000149,"Johnson, Jay W.",Democratic,Wisconsin,https://api.congress.gov/v3/member/J000149?format=json,8.0,,,1997.0,1999.0,,N,,2.0,N,Y,U,6.0
1030,J000110,"John, Christopher",Democratic,Louisiana,https://api.congress.gov/v3/member/J000110?format=json,7.0,,,1997.0,2005.0,,N,,8.0,N,Y,U,31.0
1031,J000082,"Jenkins, William L.",Republican,Tennessee,https://api.congress.gov/v3/member/J000082?format=json,1.0,,,1997.0,2007.0,,N,,10.0,N,Y,U,38.0
1032,H001014,"Hutchinson, Asa",Republican,Arkansas,https://api.congress.gov/v3/member/H001014?format=json,3.0,,,1997.0,2001.0,,N,,4.0,N,Y,U,45.0
1033,H000948,"Hulshof, Kenny C.",Republican,Missouri,https://api.congress.gov/v3/member/H000948?format=json,9.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,97.0
1034,H000762,"Hooley, Darlene",Democratic,Oregon,https://api.congress.gov/v3/member/H000762?format=json,5.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,146.0
1035,H000636,"Hinojosa, Ruben",Democratic,Texas,https://api.congress.gov/v3/member/H000636?format=json,15.0,,,1997.0,2017.0,,N,,20.0,N,Y,U,108.0
1036,H000605,"Hill, Rick",Republican,Montana,https://api.congress.gov/v3/member/H000605?format=json,,,,1997.0,2001.0,,N,,4.0,N,Y,U,35.0
1037,G000377,"Granger, Kay",Republican,Texas,https://api.congress.gov/v3/member/G000377?format=json,12.0,,,1997.0,,,Y,,26.0,N,Y,U,93.0
1038,G000280,"Goode, Virgil H., Jr.",Republican,Virginia,https://api.congress.gov/v3/member/G000280?format=json,5.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,84.0
1039,G000152,"Gibbons, Jim",Republican,Nevada,https://api.congress.gov/v3/member/G000152?format=json,2.0,,,1997.0,2007.0,,N,,10.0,N,Y,U,120.0
1040,F000440,"Fossella, Vito",Republican,New York,https://api.congress.gov/v3/member/F000440?format=json,13.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,119.0
1041,F000262,"Ford, Harold E., Jr.",Democratic,Tennessee,https://api.congress.gov/v3/member/F000262?format=json,9.0,,,1997.0,2007.0,,N,,10.0,N,Y,U,48.0
1042,E000226,"Etheridge, Bob",Democratic,North Carolina,https://api.congress.gov/v3/member/E000226?format=json,2.0,,,1997.0,2011.0,,N,,14.0,N,Y,U,68.0
1043,E000172,"Emerson, Jo Ann",Republican,Missouri,https://api.congress.gov/v3/member/E000172?format=json,8.0,,,1997.0,2013.0,,N,,16.0,N,Y,U,139.0
1044,D000197,"DeGette, Diana",Democratic,Colorado,https://api.congress.gov/v3/member/D000197?format=json,1.0,,,1997.0,,,Y,,26.0,N,Y,U,223.0
1045,D000114,"Davis, Jim",Democratic,Florida,https://api.congress.gov/v3/member/D000114?format=json,11.0,,,1997.0,2007.0,,N,,10.0,N,Y,U,29.0
1046,D000096,"Davis, Danny K.",Democratic,Illinois,https://api.congress.gov/v3/member/D000096?format=json,7.0,,,1997.0,,,Y,,26.0,N,Y,U,353.0
1047,C000735,"Cooksey, John",Republican,Louisiana,https://api.congress.gov/v3/member/C000735?format=json,5.0,,,1997.0,2003.0,,N,,6.0,N,Y,U,11.0
1048,C000722,"Cook, Merrill",Republican,Utah,https://api.congress.gov/v3/member/C000722?format=json,2.0,,,1997.0,2001.0,,N,,4.0,N,Y,U,25.0
1049,C000380,"Christensen, Donna M.",Democratic,Virgin Islands,https://api.congress.gov/v3/member/C000380?format=json,,,,1997.0,2015.0,,N,,18.0,N,Y,U,150.0
1050,C000134,"Capps, Walter",Democratic,California,https://api.congress.gov/v3/member/C000134?format=json,22.0,,,1997.0,1999.0,,N,,2.0,N,Y,U,3.0
1051,C001036,"Capps, Lois",Democratic,California,https://api.congress.gov/v3/member/C001036?format=json,24.0,,,1997.0,2017.0,,N,,20.0,N,Y,U,241.0
1052,C000116,"Cannon, Chris",Republican,Utah,https://api.congress.gov/v3/member/C000116?format=json,3.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,108.0
1053,B001227,"Brady, Robert A.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/B001227?format=json,1.0,,,1997.0,2019.0,,N,,22.0,N,Y,U,120.0
1054,B000716,"Boyd, Allen",Democratic,Florida,https://api.congress.gov/v3/member/B000716?format=json,2.0,,,1997.0,2011.0,,N,,14.0,N,Y,U,33.0
1055,B000652,"Boswell, Leonard L.",Democratic,Iowa,https://api.congress.gov/v3/member/B000652?format=json,3.0,,,1997.0,2013.0,,N,,16.0,N,Y,U,106.0
1056,B001228,"Bono Mack, Mary",Republican,California,https://api.congress.gov/v3/member/B001228?format=json,45.0,,,1997.0,2013.0,,N,,16.0,N,Y,U,92.0
1057,B000518,"Blagojevich, Rod R.",Democratic,Illinois,https://api.congress.gov/v3/member/B000518?format=json,5.0,,,1997.0,2003.0,,N,,6.0,N,Y,U,46.0
1058,B000420,"Berry, Marion",Democratic,Arkansas,https://api.congress.gov/v3/member/B000420?format=json,1.0,,,1997.0,2011.0,,N,,14.0,N,Y,U,101.0
1059,A000357,"Allen, Thomas H.",Democratic,Maine,https://api.congress.gov/v3/member/A000357?format=json,1.0,,,1997.0,2009.0,,N,,12.0,N,Y,U,89.0
1060,A000055,"Aderholt, Robert B.",Republican,Alabama,https://api.congress.gov/v3/member/A000055?format=json,4.0,,,1997.0,,,Y,,26.0,N,Y,U,82.0
1061,Z000013,"Zorinsky, Edward",Democratic,Nebraska,https://api.congress.gov/v3/member/Z000013?format=json,,1989.0,1977.0,,,N,,12.0,,Y,N,U,130.0
1062,Y000047,"Young, Milton R.",Republican,North Dakota,https://api.congress.gov/v3/member/Y000047?format=json,,1981.0,1945.0,,,N,,36.0,,Y,N,U,61.0
1063,W000665,"Wofford, Harris",Democratic,Pennsylvania,https://api.congress.gov/v3/member/W000665?format=json,,1995.0,1991.0,,,N,,4.0,,Y,N,U,105.0
1064,W000607,"Wilson, Pete",Republican,California,https://api.congress.gov/v3/member/W000607?format=json,,1993.0,1983.0,,,N,,10.0,,Y,N,U,339.0
1065,W000502,"Williams, Harrison A., Jr.",Democratic,New Jersey,https://api.congress.gov/v3/member/W000502?format=json,,1982.0,1959.0,1953.0,1957.0,N,N,23.0,4.0,Y,Y,U,317.0
1066,W000288,"Wellstone, Paul D.",Democratic,Minnesota,https://api.congress.gov/v3/member/W000288?format=json,,2002.0,1991.0,,,N,,11.0,,Y,N,U,608.0
1067,W000253,"Weicker, Lowell P., Jr.",Republican,Connecticut,https://api.congress.gov/v3/member/W000253?format=json,,1989.0,1973.0,1969.0,1971.0,N,N,16.0,2.0,Y,Y,U,1758.0
1068,W000092,"Wallop, Malcolm",Republican,Wyoming,https://api.congress.gov/v3/member/W000092?format=json,,1995.0,1977.0,,,N,,18.0,,Y,N,U,411.0
1069,T000410,"Tunney, John V.",Democratic,California,https://api.congress.gov/v3/member/T000410?format=json,,1977.0,1973.0,1965.0,1973.0,N,N,4.0,8.0,Y,Y,U,111.0
