Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Gender,Bill
0,S000062,"Sarasin, Ronald A.",Republican,Connecticut,https://api.congress.gov/v3/member/S000062?format=json,5.0,,,1973.0,1979.0,U,85.0
1,B001305,"Budd, Ted",Republican,North Carolina,https://api.congress.gov/v3/member/B001305?format=json,,,2023.0,2017.0,2023.0,M,131.0
2,W000817,"Warren, Elizabeth",Democratic,Massachusetts,https://api.congress.gov/v3/member/W000817?format=json,,,2013.0,,,F,545.0
3,W000802,"Whitehouse, Sheldon",Democratic,Rhode Island,https://api.congress.gov/v3/member/W000802?format=json,,,2007.0,,,M,551.0
4,Y000064,"Young, Todd",Republican,Indiana,https://api.congress.gov/v3/member/Y000064?format=json,,,2017.0,2011.0,2017.0,M,312.0
5,W000800,"Welch, Peter",Democratic,Vermont,https://api.congress.gov/v3/member/W000800?format=json,,,2023.0,2007.0,2023.0,M,316.0
6,W000779,"Wyden, Ron",Democratic,Oregon,https://api.congress.gov/v3/member/W000779?format=json,,,1996.0,1981.0,1996.0,M,1664.0
7,W000437,"Wicker, Roger F.",Republican,Mississippi,https://api.congress.gov/v3/member/W000437?format=json,,,2007.0,1995.0,2007.0,M,657.0
8,V000137,"Vance, J. D.",Republican,Ohio,https://api.congress.gov/v3/member/V000137?format=json,,,2023.0,,,M,1.0
9,W000790,"Warnock, Raphael G.",Democratic,Georgia,https://api.congress.gov/v3/member/W000790?format=json,,,2021.0,,,M,96.0
10,T000278,"Tuberville, Tommy",Republican,Alabama,https://api.congress.gov/v3/member/T000278?format=json,,,2021.0,,,M,170.0
11,T000476,"Tillis, Thomas",Republican,North Carolina,https://api.congress.gov/v3/member/T000476?format=json,,,2015.0,,,M,548.0
12,W000805,"Warner, Mark R.",Democratic,Virginia,https://api.congress.gov/v3/member/W000805?format=json,,,2009.0,,,M,536.0
13,T000250,"Thune, John",Republican,South Dakota,https://api.congress.gov/v3/member/T000250?format=json,,,2005.0,1997.0,2003.0,M,898.0
14,V000128,"Van Hollen, Chris",Democratic,Maryland,https://api.congress.gov/v3/member/V000128?format=json,,,2017.0,2003.0,2017.0,M,387.0
15,S001203,"Smith, Tina",Democratic,Minnesota,https://api.congress.gov/v3/member/S001203?format=json,,,2018.0,,,F,213.0
16,S001198,"Sullivan, Dan",Republican,Alaska,https://api.congress.gov/v3/member/S001198?format=json,,,2015.0,,,M,353.0
17,S001191,"Sinema, Kyrsten",Independent,Arizona,https://api.congress.gov/v3/member/S001191?format=json,,,2019.0,2013.0,2019.0,F,140.0
