Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
2001,B000910,"Brown, Clarence, Jr.",Republican,Ohio,https://api.congress.gov/v3/member/B000910?format=json,7.0,,,1965.0,1983.0,,N,,18.0,N,Y,U,159.0
2002,B000897,"Browder, Glen",Democratic,Alabama,https://api.congress.gov/v3/member/B000897?format=json,3.0,,,1989.0,1997.0,,N,,8.0,N,Y,U,19.0
2003,B000893,"Brotzman, Donald G.",Republican,Colorado,https://api.congress.gov/v3/member/B000893?format=json,2.0,,,1963.0,1965.0,,N,,2.0,N,Y,U,84.0
2004,B000890,"Broomfield, William S.",Republican,Michigan,https://api.congress.gov/v3/member/B000890?format=json,18.0,,,1957.0,1993.0,,N,,36.0,N,Y,U,291.0
2005,B000880,"Brooks, Jack B.",Democratic,Texas,https://api.congress.gov/v3/member/B000880?format=json,9.0,,,1953.0,1995.0,,N,,42.0,N,Y,U,390.0
2006,B000862,"Brodhead, William",Democratic,Michigan,https://api.congress.gov/v3/member/B000862?format=json,17.0,,,1975.0,1983.0,,N,,8.0,N,Y,U,156.0
2007,B000845,"Britt, Robin",Democratic,North Carolina,https://api.congress.gov/v3/member/B000845?format=json,6.0,,,1983.0,1985.0,,N,,2.0,N,Y,U,2.0
2008,B000400,"Bentsen, Ken",Democratic,Texas,https://api.congress.gov/v3/member/B000400?format=json,25.0,,,1995.0,2003.0,,N,,8.0,N,Y,U,43.0
2009,B000392,"Bentley, Helen Delich",Republican,Maryland,https://api.congress.gov/v3/member/B000392?format=json,2.0,,,1985.0,1995.0,,N,,10.0,N,Y,U,120.0
2010,B000371,"Bennett, Charles E.",Democratic,Florida,https://api.congress.gov/v3/member/B000371?format=json,3.0,,,1949.0,1993.0,,N,,44.0,N,Y,U,757.0
2011,B000363,"Benjamin, Adam, Jr.",Democratic,Indiana,https://api.congress.gov/v3/member/B000363?format=json,1.0,,,1977.0,1983.0,,N,,6.0,N,Y,U,38.0
2012,B000362,"Benitez, Jamie",Democratic,Puerto Rico,https://api.congress.gov/v3/member/B000362?format=json,,,,1973.0,1977.0,,N,,4.0,N,Y,U,25.0
2013,B000358,"Benedict, Cleve",Republican,West Virginia,https://api.congress.gov/v3/member/B000358?format=json,2.0,,,1981.0,1983.0,,N,,2.0,N,Y,U,4.0
2014,B000330,"Bell, Alphonzo",Republican,California,https://api.congress.gov/v3/member/B000330?format=json,27.0,,,1961.0,1977.0,,N,,16.0,N,Y,U,126.0
2015,B000318,"Beilenson, Anthony C.",Democratic,California,https://api.congress.gov/v3/member/B000318?format=json,24.0,,,1977.0,1997.0,,N,,20.0,N,Y,U,279.0
2016,B000298,"Bedell, Berkley W.",Democratic,Iowa,https://api.congress.gov/v3/member/B000298?format=json,6.0,,,1975.0,1987.0,,N,,12.0,N,Y,U,277.0
2017,B000287,"Becerra, Xavier",Democratic,California,https://api.congress.gov/v3/member/B000287?format=json,34.0,,,1993.0,2017.0,,N,,24.0,N,Y,U,131.0
2018,B000280,"Beard, Robin",Republican,Tennessee,https://api.congress.gov/v3/member/B000280?format=json,6.0,,,1973.0,1983.0,,N,,10.0,N,Y,U,132.0
2019,B000279,"Beard, Edward",Democratic,Rhode Island,https://api.congress.gov/v3/member/B000279?format=json,2.0,,,1975.0,1981.0,,N,,6.0,N,Y,U,99.0
2020,B000244,"Bauman, Robert E.",Republican,Maryland,https://api.congress.gov/v3/member/B000244?format=json,1.0,,,1973.0,1981.0,,N,,8.0,N,Y,U,61.0
2021,B000243,"Baucus, Max",Democratic,Montana,https://api.congress.gov/v3/member/B000243?format=json,,2014.0,1979.0,1975.0,1979.0,N,N,35.0,4.0,Y,Y,U,1832.0
2022,B000236,"Bates, Jim",Democratic,California,https://api.congress.gov/v3/member/B000236?format=json,44.0,,,1983.0,1991.0,,N,,8.0,N,Y,U,78.0
2023,B000220,"Bass, Charles F.",Republican,New Hampshire,https://api.congress.gov/v3/member/B000220?format=json,2.0,,,1995.0,2007.0,,N,,12.0,N,Y,U,80.0
2024,B000213,"Barton, Joe",Republican,Texas,https://api.congress.gov/v3/member/B000213?format=json,6.0,,,1985.0,2019.0,,N,,34.0,N,Y,U,224.0
2025,B000204,"Bartlett, Steve",Republican,Texas,https://api.congress.gov/v3/member/B000204?format=json,3.0,,,1983.0,1993.0,,N,,10.0,N,Y,U,75.0
2026,B000208,"Bartlett, Roscoe G.",Republican,Maryland,https://api.congress.gov/v3/member/B000208?format=json,6.0,,,1993.0,2013.0,,N,,20.0,N,Y,U,148.0
2027,B000178,"Barrett, William A.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/B000178?format=json,1.0,,,1945.0,1947.0,,N,,2.0,N,Y,U,51.0
2028,B000177,"Barrett, Thomas M.",Democratic,Wisconsin,https://api.congress.gov/v3/member/B000177?format=json,5.0,,,1993.0,2003.0,,N,,10.0,N,Y,U,50.0
2029,B000179,"Barrett, Bill",Republican,Nebraska,https://api.congress.gov/v3/member/B000179?format=json,3.0,,,1991.0,2001.0,,N,,10.0,N,Y,U,42.0
2030,B000169,"Barr, Bob",Republican,Georgia,https://api.congress.gov/v3/member/B000169?format=json,7.0,,,1995.0,2003.0,,N,,8.0,N,Y,U,102.0
2031,B000160,"Barnes, Michael D.",Democratic,Maryland,https://api.congress.gov/v3/member/B000160?format=json,8.0,,,1979.0,1987.0,,N,,8.0,N,Y,U,79.0
2032,B000153,"Barnard, Doug, Jr.",Democratic,Georgia,https://api.congress.gov/v3/member/B000153?format=json,10.0,,,1977.0,1993.0,,N,,16.0,N,Y,U,119.0
2033,B000151,"Barlow, Tom",Democratic,Kentucky,https://api.congress.gov/v3/member/B000151?format=json,1.0,,,1993.0,1995.0,,N,,2.0,N,Y,U,6.0
2034,B000134,"Barcia, James A.",Democratic,Michigan,https://api.congress.gov/v3/member/B000134?format=json,5.0,,,1993.0,2003.0,,N,,10.0,N,Y,U,38.0
2035,B001226,"Barca, Peter",Democratic,Wisconsin,https://api.congress.gov/v3/member/B001226?format=json,1.0,,,1993.0,1995.0,,N,,2.0,N,Y,U,11.0
2036,B000104,"Ballenger, Cass",Republican,North Carolina,https://api.congress.gov/v3/member/B000104?format=json,10.0,,,1985.0,2005.0,,N,,20.0,N,Y,U,91.0
2037,B000083,"Baldus, Alvin J.",Democratic,Wisconsin,https://api.congress.gov/v3/member/B000083?format=json,3.0,,,1975.0,1981.0,,N,,6.0,N,Y,U,59.0
2038,B000081,"Baldacci, John Elias",Democratic,Maine,https://api.congress.gov/v3/member/B000081?format=json,2.0,,,1995.0,2003.0,,N,,8.0,N,Y,U,44.0
2039,B000072,"Baker, Richard H.",Republican,Louisiana,https://api.congress.gov/v3/member/B000072?format=json,6.0,,,1987.0,2008.0,,N,,21.0,N,Y,U,180.0
2040,B000069,"Baker, LaMar",Republican,Tennessee,https://api.congress.gov/v3/member/B000069?format=json,3.0,,,1971.0,1975.0,,N,,4.0,N,Y,U,46.0
2041,B000078,"Baker, Bill",Republican,California,https://api.congress.gov/v3/member/B000078?format=json,10.0,,,1993.0,1997.0,,N,,4.0,N,Y,U,23.0
2042,B000047,"Bailey, Wendell",Republican,Missouri,https://api.congress.gov/v3/member/B000047?format=json,8.0,,,1981.0,1983.0,,N,,2.0,N,Y,U,6.0
2043,B000037,"Bailey, Donald A.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/B000037?format=json,21.0,,,1979.0,1983.0,,N,,4.0,N,Y,U,31.0
2044,B000028,"Baesler, Scotty",Democratic,Kentucky,https://api.congress.gov/v3/member/B000028?format=json,6.0,,,1993.0,1999.0,,N,,6.0,N,Y,U,13.0
2045,B000025,"Badillo, Herman",Democratic,New York,https://api.congress.gov/v3/member/B000025?format=json,21.0,,,1971.0,1979.0,,N,,8.0,N,Y,U,102.0
2046,B000024,"Badham, Robert E.",Republican,California,https://api.congress.gov/v3/member/B000024?format=json,40.0,,,1977.0,1989.0,,N,,12.0,N,Y,U,44.0
2047,B000013,"Bachus, Spencer",Republican,Alabama,https://api.congress.gov/v3/member/B000013?format=json,6.0,,,1993.0,2015.0,,N,,22.0,N,Y,U,124.0
2048,B000008,"Bacchus, Jim",Democratic,Florida,https://api.congress.gov/v3/member/B000008?format=json,15.0,,,1991.0,1995.0,,N,,4.0,N,Y,U,25.0
2049,A000337,"AuCoin, Les",Democratic,Oregon,https://api.congress.gov/v3/member/A000337?format=json,1.0,,,1975.0,1993.0,,N,,18.0,N,Y,U,213.0
2050,A000329,"Atkinson, Eugene V.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/A000329?format=json,25.0,,,1979.0,1983.0,,N,,4.0,N,Y,U,20.0
2051,A000226,"Atkins, Chester G.",Democratic,Massachusetts,https://api.congress.gov/v3/member/A000226?format=json,5.0,,,1985.0,1993.0,,N,,8.0,N,Y,U,44.0
2052,A000224,"Aspin, Les",Democratic,Wisconsin,https://api.congress.gov/v3/member/A000224?format=json,1.0,,,1971.0,1995.0,,N,,24.0,N,Y,U,326.0
2053,A000222,"Ashley, Thomas L.",Democratic,Ohio,https://api.congress.gov/v3/member/A000222?format=json,9.0,,,1955.0,1981.0,,N,,26.0,N,Y,U,140.0
2054,A000221,"Ashbrook, John M.",Republican,Ohio,https://api.congress.gov/v3/member/A000221?format=json,17.0,,,1961.0,1983.0,,N,,22.0,N,Y,U,326.0
2055,A000220,"Ashbrook, Jean",Republican,Ohio,https://api.congress.gov/v3/member/A000220?format=json,17.0,,,1981.0,1983.0,,N,,2.0,N,Y,U,
2056,A000219,"Armstrong, William L.",Republican,Colorado,https://api.congress.gov/v3/member/A000219?format=json,,1991.0,1979.0,1973.0,1979.0,N,N,12.0,6.0,Y,Y,U,483.0
2057,A000217,"Armey, Richard K.",Republican,Texas,https://api.congress.gov/v3/member/A000217?format=json,26.0,,,1985.0,2003.0,,N,,18.0,N,Y,U,246.0
2058,A000216,"Arends, Leslie C.",Republican,Illinois,https://api.congress.gov/v3/member/A000216?format=json,15.0,,,1935.0,1975.0,,N,,40.0,N,Y,U,8.0
2059,A000215,"Archer, Bill",Republican,Texas,https://api.congress.gov/v3/member/A000215?format=json,7.0,,,1971.0,2001.0,,N,,30.0,N,Y,U,384.0
2060,A000214,"Applegate, Douglas",Democratic,Ohio,https://api.congress.gov/v3/member/A000214?format=json,18.0,,,1977.0,1995.0,,N,,18.0,N,Y,U,192.0
2061,A000213,"Anthony, Beryl, Jr.",Democratic,Arkansas,https://api.congress.gov/v3/member/A000213?format=json,4.0,,,1979.0,1993.0,,N,,14.0,N,Y,U,70.0
2062,A000212,"Annunzio, Frank",Democratic,Illinois,https://api.congress.gov/v3/member/A000212?format=json,11.0,,,1965.0,1993.0,,N,,28.0,N,Y,U,390.0
2063,A000211,"Andrews, Thomas H.",Democratic,Maine,https://api.congress.gov/v3/member/A000211?format=json,1.0,,,1991.0,1995.0,,N,,4.0,N,Y,U,17.0
2064,A000210,"Andrews, Robert E.",Democratic,New Jersey,https://api.congress.gov/v3/member/A000210?format=json,1.0,,,1989.0,2014.0,,N,,25.0,N,Y,U,701.0
2065,A000209,"Andrews, Michael",Democratic,Texas,https://api.congress.gov/v3/member/A000209?format=json,25.0,,,1983.0,1995.0,,N,,12.0,N,Y,U,92.0
2066,A000208,"Andrews, Mark",Republican,North Dakota,https://api.congress.gov/v3/member/A000208?format=json,,1987.0,1981.0,1963.0,1981.0,N,N,6.0,18.0,Y,Y,U,210.0
2067,A000207,"Andrews, Ike",Democratic,North Carolina,https://api.congress.gov/v3/member/A000207?format=json,4.0,,,1973.0,1985.0,,N,,12.0,N,Y,U,67.0
2068,A000195,"Anderson, John B.",Republican,Illinois,https://api.congress.gov/v3/member/A000195?format=json,16.0,,,1961.0,1981.0,,N,,20.0,N,Y,U,284.0
2069,A000189,"Anderson, Glenn M.",Democratic,California,https://api.congress.gov/v3/member/A000189?format=json,32.0,,,1969.0,1993.0,,N,,24.0,N,Y,U,520.0
2070,A000177,"Ammerman, Joseph S.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/A000177?format=json,23.0,,,1977.0,1979.0,,N,,2.0,N,Y,U,7.0
2071,A000170,"Ambro, Jerome A.",Democratic,New York,https://api.congress.gov/v3/member/A000170?format=json,3.0,,,1975.0,1981.0,,N,,6.0,N,Y,U,34.0
2072,A000121,"Allen, George",Republican,Virginia,https://api.congress.gov/v3/member/A000121?format=json,,2007.0,2001.0,1991.0,1993.0,N,N,6.0,2.0,Y,Y,U,212.0
2073,A000118,"Allen, Clifford R.",Democratic,Tennessee,https://api.congress.gov/v3/member/A000118?format=json,5.0,,,1975.0,1979.0,,N,,4.0,N,Y,U,40.0
2074,A000109,"Allard, Wayne",Republican,Colorado,https://api.congress.gov/v3/member/A000109?format=json,,2009.0,1997.0,1991.0,1997.0,N,N,12.0,6.0,Y,Y,U,457.0
2075,A000103,"Alexander, Bill",Democratic,Arkansas,https://api.congress.gov/v3/member/A000103?format=json,1.0,,,1969.0,1993.0,,N,,24.0,N,Y,U,262.0
2076,A000076,"Albosta, Donald J.",Democratic,Michigan,https://api.congress.gov/v3/member/A000076?format=json,10.0,,,1979.0,1985.0,,N,,6.0,N,Y,U,58.0
