Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
2351,H000788,"Horn, Joan Kelly",Democratic,Missouri,https://api.congress.gov/v3/member/H000788?format=json,2.0,,,1991.0,1993.0,,N,,2.0,N,Y,U,6.0
2352,H000776,"Hopkins, Larry J.",Republican,Kentucky,https://api.congress.gov/v3/member/H000776?format=json,6.0,,,1979.0,1993.0,,N,,14.0,N,Y,U,47.0
2353,H000752,"Holtzman, Elizabeth",Democratic,New York,https://api.congress.gov/v3/member/H000752?format=json,16.0,,,1973.0,1981.0,,N,,8.0,N,Y,U,265.0
2354,H000747,"Holt, Marjorie S.",Republican,Maryland,https://api.congress.gov/v3/member/H000747?format=json,4.0,,,1973.0,1987.0,,N,,14.0,N,Y,U,285.0
2355,H000729,"Holloway, Clyde",Republican,Louisiana,https://api.congress.gov/v3/member/H000729?format=json,8.0,,,1987.0,1993.0,,N,,6.0,N,Y,U,29.0
2356,H000722,"Hollenbeck, Harold C.",Republican,New Jersey,https://api.congress.gov/v3/member/H000722?format=json,9.0,,,1977.0,1983.0,,N,,6.0,N,Y,U,49.0
2357,H000719,"Holland, Kenneth L.",Democratic,South Carolina,https://api.congress.gov/v3/member/H000719?format=json,5.0,,,1975.0,1983.0,,N,,8.0,N,Y,U,78.0
2358,H000713,"Holifield, Chet",Democratic,California,https://api.congress.gov/v3/member/H000713?format=json,19.0,,,1943.0,1947.0,,N,,4.0,N,Y,U,34.0
2359,H000712,"Holden, Tim",Democratic,Pennsylvania,https://api.congress.gov/v3/member/H000712?format=json,17.0,,,1993.0,2013.0,,N,,20.0,N,Y,U,97.0
2360,H000707,"Hoke, Martin R.",Republican,Ohio,https://api.congress.gov/v3/member/H000707?format=json,10.0,,,1993.0,1997.0,,N,,4.0,N,Y,U,28.0
2361,H000692,"Hogan, Lawrence J.",Republican,Maryland,https://api.congress.gov/v3/member/H000692?format=json,5.0,,,1969.0,1975.0,,N,,6.0,N,Y,U,57.0
2362,H000676,"Hoekstra, Peter",Republican,Michigan,https://api.congress.gov/v3/member/H000676?format=json,2.0,,,1993.0,2011.0,,N,,18.0,N,Y,U,174.0
2363,H000670,"Hochbrueckner, George J.",Democratic,New York,https://api.congress.gov/v3/member/H000670?format=json,1.0,,,1987.0,1995.0,,N,,8.0,N,Y,U,74.0
2364,H000666,"Hobson, David L.",Republican,Ohio,https://api.congress.gov/v3/member/H000666?format=json,7.0,,,1991.0,2009.0,,N,,18.0,N,Y,U,52.0
2365,H000652,"Hoagland, Peter",Democratic,Nebraska,https://api.congress.gov/v3/member/H000652?format=json,2.0,,,1989.0,1995.0,,N,,6.0,N,Y,U,59.0
2366,H000641,"Hinson, Jon C.",Republican,Mississippi,https://api.congress.gov/v3/member/H000641?format=json,4.0,,,1979.0,1983.0,,N,,4.0,N,Y,U,58.0
2367,H000638,"Hinshaw, Andrew J.",Republican,California,https://api.congress.gov/v3/member/H000638?format=json,40.0,,,1973.0,1977.0,,N,,4.0,N,Y,U,34.0
2368,H000627,"Hinchey, Maurice D.",Democratic,New York,https://api.congress.gov/v3/member/H000627?format=json,22.0,,,1993.0,2013.0,,N,,20.0,N,Y,U,207.0
2369,H000621,"Hilliard, Earl F.",Democratic,Alabama,https://api.congress.gov/v3/member/H000621?format=json,7.0,,,1993.0,2003.0,,N,,10.0,N,Y,U,31.0
2370,H000615,"Hilleary, Van",Republican,Tennessee,https://api.congress.gov/v3/member/H000615?format=json,4.0,,,1995.0,2003.0,,N,,8.0,N,Y,U,19.0
2371,H000586,"Hiler, John Patrick",Republican,Indiana,https://api.congress.gov/v3/member/H000586?format=json,3.0,,,1981.0,1991.0,,N,,10.0,N,Y,U,37.0
2372,H000582,"Hightower, Jack E.",Democratic,Texas,https://api.congress.gov/v3/member/H000582?format=json,13.0,,,1975.0,1985.0,,N,,10.0,N,Y,U,39.0
2373,H000563,"Hicks, Floyd V.",Democratic,Washington,https://api.congress.gov/v3/member/H000563?format=json,6.0,,,1965.0,1977.0,,N,,12.0,N,Y,U,48.0
2374,H000547,"Hertel, Dennis M.",Democratic,Michigan,https://api.congress.gov/v3/member/H000547?format=json,14.0,,,1981.0,1993.0,,N,,12.0,N,Y,U,130.0
2375,H000528,"Herger, Wally",Republican,California,https://api.congress.gov/v3/member/H000528?format=json,2.0,,,1987.0,2013.0,,N,,26.0,N,Y,U,216.0
2376,H000514,"Henry, Paul B.",Republican,Michigan,https://api.congress.gov/v3/member/H000514?format=json,3.0,,,1985.0,1995.0,,N,,10.0,N,Y,U,53.0
2377,H000490,"Hendon, Bill",Republican,North Carolina,https://api.congress.gov/v3/member/H000490?format=json,11.0,,,1981.0,1983.0,,N,,2.0,N,Y,U,13.0
2378,H000479,"Henderson, David N.",Democratic,North Carolina,https://api.congress.gov/v3/member/H000479?format=json,3.0,,,1961.0,1977.0,,N,,16.0,N,Y,U,92.0
2379,H000465,"Helstoski, Henry",Democratic,New Jersey,https://api.congress.gov/v3/member/H000465?format=json,9.0,,,1965.0,1977.0,,N,,12.0,N,Y,U,314.0
2380,H000456,"Heinz, John",Republican,Pennsylvania,https://api.congress.gov/v3/member/H000456?format=json,,1993.0,1977.0,1971.0,1977.0,N,N,16.0,6.0,Y,Y,U,1142.0
