Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Gender,Bill
461,T000478,"Tenney, Claudia",Republican,New York,https://api.congress.gov/v3/member/T000478?format=json,24.0,,,2017.0,2019.0,F,78.0
462,F000464,"Faso, John J.",Republican,New York,https://api.congress.gov/v3/member/F000464?format=json,19.0,,,2017.0,2019.0,M,29.0
463,E000297,"Espaillat, Adriano",Democratic,New York,https://api.congress.gov/v3/member/E000297?format=json,13.0,,,2017.0,,M,141.0
464,K000390,"Kihuen, Ruben J.",Democratic,Nevada,https://api.congress.gov/v3/member/K000390?format=json,4.0,,,2017.0,2019.0,M,12.0
465,G000583,"Gottheimer, Josh",Democratic,New Jersey,https://api.congress.gov/v3/member/G000583?format=json,5.0,,,2017.0,,M,80.0
466,B001298,"Bacon, Don",Republican,Nebraska,https://api.congress.gov/v3/member/B001298?format=json,2.0,,,2017.0,,M,96.0
467,L000587,"Lewis, Jason",Republican,Minnesota,https://api.congress.gov/v3/member/L000587?format=json,2.0,,,2017.0,2019.0,M,16.0
468,M001201,"Mitchell, Paul",Independent,Michigan,https://api.congress.gov/v3/member/M001201?format=json,10.0,,,2017.0,2021.0,M,27.0
469,B001301,"Bergman, Jack",Republican,Michigan,https://api.congress.gov/v3/member/B001301?format=json,1.0,,,2017.0,,M,60.0
470,J000299,"Johnson, Mike",Republican,Louisiana,https://api.congress.gov/v3/member/J000299?format=json,4.0,,,2017.0,,M,62.0
471,H001077,"Higgins, Clay",Republican,Louisiana,https://api.congress.gov/v3/member/H001077?format=json,3.0,,,2017.0,,M,78.0
472,B001299,"Banks, Jim",Republican,Indiana,https://api.congress.gov/v3/member/B001299?format=json,3.0,,,2017.0,,M,128.0
473,K000391,"Krishnamoorthi, Raja",Democratic,Illinois,https://api.congress.gov/v3/member/K000391?format=json,8.0,,,2017.0,,M,108.0
474,F000465,"Ferguson, A. Drew, IV",Republican,Georgia,https://api.congress.gov/v3/member/F000465?format=json,3.0,,,2017.0,,M,28.0
475,R000607,"Rooney, Francis",Republican,Florida,https://api.congress.gov/v3/member/R000607?format=json,19.0,,,2017.0,2021.0,M,46.0
476,M001199,"Mast, Brian J.",Republican,Florida,https://api.congress.gov/v3/member/M001199?format=json,21.0,,,2017.0,,M,90.0
477,S001200,"Soto, Darren",Democratic,Florida,https://api.congress.gov/v3/member/S001200?format=json,9.0,,,2017.0,,M,115.0
478,R000609,"Rutherford, John H.",Republican,Florida,https://api.congress.gov/v3/member/R000609?format=json,5.0,,,2017.0,,M,33.0
479,D000628,"Dunn, Neal P.",Republican,Florida,https://api.congress.gov/v3/member/D000628?format=json,2.0,,,2017.0,,M,48.0
480,G000578,"Gaetz, Matt",Republican,Florida,https://api.congress.gov/v3/member/G000578?format=json,1.0,,,2017.0,,M,54.0
481,B001303,"Blunt Rochester, Lisa",Democratic,Delaware,https://api.congress.gov/v3/member/B001303?format=json,,,,2017.0,,F,81.0
482,C001110,"Correa, J. Luis",Democratic,California,https://api.congress.gov/v3/member/C001110?format=json,46.0,,,2017.0,,M,73.0
483,B001300,"Barragan, Nanette Diaz",Democratic,California,https://api.congress.gov/v3/member/B001300?format=json,44.0,,,2017.0,,F,71.0
484,C001112,"Carbajal, Salud O.",Democratic,California,https://api.congress.gov/v3/member/C001112?format=json,24.0,,,2017.0,,M,82.0
485,B001302,"Biggs, Andy",Republican,Arizona,https://api.congress.gov/v3/member/B001302?format=json,5.0,,,2017.0,,M,768.0
486,P000613,"Panetta, Jimmy",Democratic,California,https://api.congress.gov/v3/member/P000613?format=json,19.0,,,2017.0,,M,130.0
