Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Gender,Bill
2501,F000319,"Fountain, L. H.",Democratic,North Carolina,https://api.congress.gov/v3/member/F000319?format=json,2.0,,,1953.0,1983.0,,N,,30.0,N,Y,U,61
2502,F000286,"Forsythe, Edwin B.",Republican,New Jersey,https://api.congress.gov/v3/member/F000286?format=json,13.0,,,1969.0,1985.0,,N,,16.0,N,Y,U,194
2503,F000270,"Ford, William D.",Democratic,Michigan,https://api.congress.gov/v3/member/F000270?format=json,13.0,,,1965.0,1995.0,,N,,30.0,N,Y,U,278
2504,F000261,"Ford, Harold E.",Democratic,Tennessee,https://api.congress.gov/v3/member/F000261?format=json,9.0,,,1975.0,1997.0,,N,,22.0,N,Y,U,126
2505,F000260,"Ford, Gerald R., Jr.",Republican,Michigan,https://api.congress.gov/v3/member/F000260?format=json,5.0,,,1949.0,1975.0,,N,,26.0,N,Y,U,29
2506,F000257,"Forbes, Michael P.",Democratic,New York,https://api.congress.gov/v3/member/F000257?format=json,1.0,,,1995.0,2001.0,,N,,6.0,N,Y,U,52
2507,F000239,"Foley, Thomas S.",Democratic,Washington,https://api.congress.gov/v3/member/F000239?format=json,5.0,,,1965.0,1995.0,,N,,30.0,N,Y,U,333
2508,F000238,"Foley, Mark",Republican,Florida,https://api.congress.gov/v3/member/F000238?format=json,16.0,,,1995.0,2007.0,,N,,12.0,N,Y,U,149
2509,F000235,"Foglietta, Thomas M.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/F000235?format=json,1.0,,,1981.0,1999.0,,N,,18.0,N,Y,U,84
2510,F000229,"Flynt, John J., Jr.",Democratic,Georgia,https://api.congress.gov/v3/member/F000229?format=json,6.0,,,1953.0,1979.0,,N,,26.0,N,Y,U,127
2511,F000218,"Flowers, Walter",Democratic,Alabama,https://api.congress.gov/v3/member/F000218?format=json,7.0,,,1969.0,1979.0,,N,,10.0,N,Y,U,57
2512,F000215,"Florio, James J.",Democratic,New Jersey,https://api.congress.gov/v3/member/F000215?format=json,1.0,,,1975.0,1991.0,,N,,16.0,N,Y,U,273
2513,F000209,"Flood, Daniel J.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/F000209?format=json,11.0,,,1945.0,1947.0,,N,,2.0,N,Y,U,107
2514,F000208,"Flippo, Ronnie G.",Democratic,Alabama,https://api.congress.gov/v3/member/F000208?format=json,5.0,,,1977.0,1991.0,,N,,14.0,N,Y,U,63
