date,amount,honoree_name,Payee Name,Contribution Type,contributor_name,state,country,Registrant Name
2022-05-02,1000.00,Garret Graves,GARRET GRAVES VICTORY FUND,feca,SELF,LA,US,LONG LAW FIRM
2022-01-27,10.00,NA,CATHERINE CORTEZ MASTO,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,CATHERINE CORTEZ MASTO,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,CHERI BEASLEY,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,CHERI BEASLEY,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,HEATHER MIZEUR,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,HEATHER MIZEUR,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,JOHN FETTERMAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,JOHN FETTERMAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,MAGGIE HASSAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,MAGGIE HASSAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,MANDELA BARNES,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,MANDELA BARNES,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,RAPHAEL WARNOCK,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,RAPHAEL WARNOCK,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,VAL DEMINGS,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,VAL DEMINGS,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,CATHERINE CORTEZ MASTO,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,CATHERINE CORTEZ MASTO,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,CHERI BEASLEY,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,CHERI BEASLEY,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,HEATHER MIZEUR,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,HEATHER MIZEUR,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,JOHN FETTERMAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,JOHN FETTERMAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,MAGGIE HASSAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,MAGGIE HASSAN,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,MANDELA BARNES,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,MANDELA BARNES,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,RAPHAEL WARNOCK,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,RAPHAEL WARNOCK,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-01-27,10.00,NA,VAL DEMINGS,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-09,10.00,NA,VAL DEMINGS,feca,SELF,MD,US,MR. MIKE WASSENAAR
2022-03-31,500.00,Lisa Murkowski for Senate,BRUCE M. EVANS,feca,SELF,DC,US,OWEN EVANS INGOLS
2022-06-09,1000.00,Katie Britt,KATIE BRITT FOR SENATE,feca,SELF,DC,US,OWEN EVANS INGOLS
2022-03-24,2500.00,Rep. S. Raja Krishnamoorthi,FRIENDS OF RAJA FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-15,-5000.00,Rep. Young O. Kim,FOREVER YOUTH ORGANIZATION UTILIZING A NEW GENERATION PAC,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-04-28,1000.00,Rep. Darin M. LaHood,LAHOOD FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-15,3000.00,Sen. Kyrsten Sinema,SINEMA FOR ARIZONA,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-07,2500.00,Sen. Thomas Richard Carper,CARPER FOR SENATE,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-24,4000.00,Rep. Christina J. Houlahan,CHRISSY HOULAHAN FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-24,2500.00,Sen. Marco Antonio Rubio,MARCO RUBIO FOR SENATE,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-15,5000.00,Rep. Joe Neguse,JOE NEGUSE FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-29,1000.00,Rep. Dwight Evans,DWIGHT EVANS FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-02-09,5000.00,Sen. Charles E. Schumer,IMPACT,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-24,2500.00,Rep. Linda T. Sanchez,STAND WITH SANCHEZ,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-24,5000.00,Rep. Vernon Gale Buchanan,VERN BUCHANAN FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-29,1500.00,"Rep. Thomas Earl Emmer, Jr.",EMMER FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-05-04,2500.00,Rep. Bill Foster,BILL FOSTER FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-04-28,2500.00,"Rep. Emanuel Cleaver, II",CLEAVER FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-07,1000.00,Rep. Gregory Weldon Meeks,FRIENDS FOR GREGORY MEEKS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-02-01,-1000.00,Rep. Daniel Timothy Kildee,FRIENDS OF DAN KILDEE,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-04-28,2000.00,Rep. James Andrew Himes,HIMES FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-29,5000.00,Rep. Sean Patrick Maloney,HUDSON VALLEY PAC,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-02-28,-2000.00,Sen. Kyrsten Sinema,SINEMA FOR ARIZONA,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-07,5000.00,Rep. Hakeem Jeffries,TEAM BLUE PAC,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-01-10,5000.00,Congressional Black Caucus,CONGRESSIONAL BLACK CAUCUS PAC,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-05-04,2500.00,"Rep. Eric Michael Swalwell, Jr.",SWALWELL FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-07,2500.00,Rep. Bill Foster,BILL FOSTER FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-29,5000.00,Rep. Lisa Blunt Rochester,I GOT YOUR BACK PAC,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-05-04,2500.00,"Rep. Emanuel Cleaver, II",CLEAVER FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-07,2500.00,Rep. Randy Feenstra,FEENSTRA FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-15,2000.00,Rep. Young O. Kim,YOUNG KIM FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-15,2500.00,Rep. Brian M. Higgins,BRIAN HIGGINS FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-04-28,1000.00,Rep. Randy Feenstra,FEENSTRA FOR CONGRESS,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-02-09,5000.00,Rep. James Enos Clyburn,BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS PAC (BRIDGE PAC),feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
2022-03-07,1000.00,Sen. Shelley Moore Capito,CAPITO FOR WEST VIRGINIA,feca,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,DC,US,KPMG LLP
