date,amount,honoree_name,Payee Name,Contribution Type,contributor_name,state,country,Registrant Name
2022-07-25,500.00,Rep. Wasserman Schultz,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,feca,SELF,VA,US,"CARTWRIGHT & RILEY, INC."
2022-09-30,500.00,Rep. Wasserman Schultz,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,feca,SELF,VA,US,"CARTWRIGHT & RILEY, INC."
2022-10-20,1000.00,Rep. Wasserman Schultz,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,feca,SELF,VA,US,"CARTWRIGHT & RILEY, INC."
2022-12-31,2500.00,N/A,GENERAL ATOMICS PAC,feca,SELF,DC,US,GENERAL ATOMICS
2022-11-01,1000.00,N/A,KEN CALVERT FOR CONGRESS COMMITTEE,feca,SELF,DC,US,GENERAL ATOMICS
2022-07-26,1000.00,N/A,HOEVEN FOR SENATE,feca,SELF,DC,US,GENERAL ATOMICS
2022-08-14,1000.00,N/A,MCCOLLUM FOR CONGRESS,feca,SELF,DC,US,GENERAL ATOMICS
2022-08-31,500.00,Brad Sherman,COMMITTEE TO ELECT SHERMAN,feca,SELF,DC,US,MCPHERSON GROUP LLP
2022-08-31,1000.00,French Hill,COMMITTEE TO ELECT FRENCH HIL,feca,SELF,DC,US,MCPHERSON GROUP LLP
2022-08-31,500.00,Bruce Palaquin,BRUCE PALAQUIN FOR CONGRESS,feca,SELF,DC,US,MCPHERSON GROUP LLP
2022-09-30,1000.00,French Hill,COMMITTEE TO ELECT FRENCH HILL,feca,SELF,DC,US,MCPHERSON GROUP LLP
2022-09-30,500.00,JD Vance,JD VANCE FOR SENATE,feca,SELF,DC,US,MCPHERSON GROUP LLP
2022-08-31,500.00,Brad Sherman,COMMITTEE TO ELECT SHERMAN,feca,SELF,DC,US,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
2022-08-31,1000.00,Blain Luetkemeyer,BLAINE LUETKEMEYER FOR CONGRESS,feca,SELF,DC,US,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
2022-08-31,1000.00,French Hill,COMMITTEE TO ELECT FRENCH HILL,feca,SELF,DC,US,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
2022-08-31,500.00,Bruce Palaquin,BRUCE PALAQUIN FOR CONGRESS,feca,SELF,DC,US,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
2022-09-30,1000.00,French Hill,COMMITTEE TO ELECT FRENCH HILL,feca,SELF,DC,US,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
2022-09-30,500.00,J D Vance,VANCE FOR SENATE,feca,SELF,DC,US,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
2022-10-31,500.00,Hung Cao,CAO FOR CONGRESS,feca,SELF,DC,US,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
2022-12-31,588.00,Annual voluntary federal PAC contribution,MARK OESTERLE,feca,SELF,DC,US,TRUIST FINANCIAL CORPORATION (FORMERLY KNOWN AS BB&T)
2022-07-13,1000.00,James Lankford,FAMILIES FOR JAMES LANKFORD,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1000.00,Tammy Duckworth,DUCKWORTH VICTORY FUND,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1000.00,Tammy Duckworth,DUCKWORTH VICTORY FUND,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1000.00,Doris Matsui,MATSUI FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1000.00,Frank Pallone,PALLONE FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1000.00,Frank Pallone,PALLONE FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1500.00,Lisa Murkowski,DENALI LEADERSHIP PAC,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1500.00,Dr. Kim Schrier,DR. KIM SCHRIER FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-13,1000.00,Patty Murray,PEOPLE FOR PATTY MURRAY US SENATE CAMPAIGN,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,1000.00,Drew Ferguson,"DREW FERGUSON FOR CONGRESS, INC.",feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,5000.00,Raphael Warnock,WARNOCK VICTORY FUND,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,1000.00,William M Cassidy,CONTINUING AMERICA'S STRENGTH AND SECURITY PAC,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,1000.00,Jimmy Gomez,JIMMY GOMEZ FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,1000.00,Brett Guthrie,GUTHRIE FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,1000.00,Darren Soto,DARREN SOTO FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,5000.00,Jerry Moran,MORAN VICTORY COMMITTEE,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-07-27,2500.00,John Barrasso,COMMON VALUES PAC,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-08-03,1000.00,Bob Casey,"BOB CASEY FOR SENATE, INC.",feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-08-03,1000.00,Robin Kelly,ROBIN KELLY FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-08-24,2500.00,Marianette Miller-Meeks,MILLER-MEEKS FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-08-24,2500.00,Kermit Jones,KERMIT JONES FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-08-24,2500.00,Rich McCormick,FRIENDS OF MCCORMICK,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-08-24,2500.00,Yidara Caraveo,CARAVEO FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,4000.00,Frank Pallone,PALLONE FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,1000.00,Dr. John Joyce,DR. JOHN JOYCE FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,1000.00,Ann McLane Kuster,"KUSTER FOR CONGRESS, INC.",feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,2500.00,Tony Cardenas,TONY CARDENAS FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,2000.00,Robin Kelly,ROBIN KELLY FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,1000.00,"Frank Pallone, Jr",SHORE PAC,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,2500.00,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-08,1000.00,Patty Murray,PEOPLE FOR PATTY MURRAY US SENATE CAMPAIGN,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
2022-09-14,3500.00,Brad Schneider,SCHNEIDER FOR CONGRESS,feca,SELF,DC,US,COLLEGE OF AMERICAN PATHOLOGISTS
