date,amount,honoree_name,Payee Name,Contribution Type,contributor_name,state,country,Registrant Name
2022-02-04,500.00,U.S. Senator James Lankford,FAMILIES FOR JAMES LANKFORD,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-02-15,500.00,U.S. Senator Jim Inhofe,MOUNTAIN MAN PAC,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-02-23,1875.00,Various Republican Senatorial Candidates,NRSC,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-03-01,1000.00,U.S. Representative Markwayne Mullin,MULLIN FOR CONGRESS,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-03-02,500.00,U.S. Senator Tom Cotton,COTTON FOR SENATE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-03-17,1000.00,U.S. Representative Frank Lucas,LUCAS FOR CONGRESS,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-03-28,1000.00,"Luke Holland, Candidate for U.S. Senate",LUKE HOLLAND FOR SENATE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-03-30,1000.00,U.S. Senator Lisa Murkowski,LISA MURKOWSKI FOR U.S. SENATE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-04-05,1000.00,U.S. Senator John Thune,FRIENDS OF JOHN THUNE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-04-28,1875.00,Various Republican Senatorial Candidates,NRSC,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-05-04,1500.00,U.S. Senator Mike Crapo,CRAPO FOR U.S. SENATE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-06-06,500.00,U.S. Representative Blake Moore,BLAKE MOORE FOR CONGRESS,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-06-08,1000.00,U.S. Senator Rand Paul,RAND PAUL FOR US SENATE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-06-13,1000.00,"U.S. Representative Ted Budd, Candidate for U.S. Senate",TED BUDD FOR SENATE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-06-14,1000.00,U.S. Senator Ron Johnson,"RON JOHNSON FOR SENATE, INC.",feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-06-21,1000.00,"J.D. Vance, Candidate for U.S. Senate",JD VANCE FOR SENATE INC.,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-06-21,1000.00,U.S. Senator Lisa Murkowski,LISA MURKOWSKI FOR U.S. SENATE,feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-06-22,500.00,"Herschel Walker, Candidate for U.S. Senate","TEAM HERSCHEL, INC",feca,SELF,VA,US,"MARSHALL & POPP, LLC"
2022-01-07,300.00,Jared Golden,JARED GOLDEN FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-01-07,300.00,Abigail Spanberger,ABIGAIL SPANBERGER FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-01-07,300.00,Mike Sherill,MIKIE SHERRILL FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-01-07,300.00,Tom O'Halleran,TOM O'HALLERAN FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-01-07,300.00,Kurt Schrader,KURT SCHRADER FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-01-07,1000.00,Blue Dog Coalition PAC,BLUE DOG PAC,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-02-01,500.00,Tim Scott,TIM SCOTT FOR SENATE,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-02-23,500.00,Scott Peters,SCOTT PETERS FOR SAN DIEGO,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-03-08,500.00,Kurt Schrader,KURT SCHRADER FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-03-18,500.00,Kurt Schrader,KURT SCHRADER FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-03-30,500.00,Frank Mrvan,FRANK MRVAN FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-04-25,500.00,Lou Correa,LOU CORREA FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-05-06,500.00,David Scott,DAVID SCOTT FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-05-12,500.00,John Boozman,BOOZMAN FOR ARKANSAS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-05-19,500.00,Alex Padilla,PADILLA FOR SENATE,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-06-03,500.00,Joe Morelle,MORRELLE FOR CONGRESS,feca,SELF,VA,US,"CHIPOTLE MEXICAN GRILL, INC"
2022-02-09,1500.00,U.S. Senator Deb Fischer,DEB FISCHER FOR US SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-02-22,1875.00,Various Republican Congressional Candidates,MCCARTHY VICTORY FUND,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-02-23,1875.00,Various Republican Senatorial Candidates,NRSC,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,1000.00,U.S. Senator John Kennedy,JOHN KENNEDY FOR US ALL,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,500.00,"U.S. Representative Ted Budd, Candidate for U.S. Senate",TED BUDD FOR SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,1000.00,U.S. Senator Todd Young,"FRIENDS OF TODD YOUNG, INC",feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,1000.00,U.S. Senator Lisa Murkowski,LISA MURKOWSKI FOR U.S. SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,500.00,U.S. Senator Marsha Blackburn,MARSHA FOR SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,500.00,U.S. Senator Bill Hagerty,TEAM HAGERTY,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,500.00,U.S. Senator Ben Sasse,"BEN SASSE FOR U.S. SENATE, INC.",feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,1000.00,U.S. Senator John Thune,FRIENDS OF JOHN THUNE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,500.00,U.S. Senator Adam Laxalt,LAXALT FOR SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,500.00,U.S. Senator Marco Rubio,MARCO RUBIO FOR SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,1500.00,"Herschel Walker, Candidate for U.S. Senate","TEAM HERSCHEL, INC",feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,1000.00,U.S. Representative Cathy McMorris Rodgers,CATHY MCMORRIS RODGERS FOR US CONGRESS,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,2500.00,Various Republican Congressional Candidates,ALAMO PAC,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-31,500.00,U.S. Representative Brett Guthrie,GUTHRIE FOR CONGRESS,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-04-04,1875.00,Various Republican Senatorial Candidates,NRSC,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-23,500.00,U.S. Representative Markwayne Mullin,MULLIN FOR CONGRESS,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,1000.00,U.S. Senator Rand Paul,RAND PAUL FOR US SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,1500.00,U.S. Senator Mike Crapo,CRAPO FOR U.S. SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,500.00,U.S. Representative Andy Harris,ANDY HARRIS FOR CONGRESS,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,500.00,U.S. Senator Mike Lee,"FRIENDS OF MIKE LEE, INC.",feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,2500.00,U.S. Representative Steve Scalise,SCALISE FOR CONGRESS,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,500.00,U.S. Senator Bill Cassidy,BILL CASSIDY FOR US SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,1000.00,U.S. Senator Cynthia Lummis,LUMMIS FOR WYOMING,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,500.00,U.S. Representative August Pfluger,AUGUST PFLUGER FOR CONGRESS,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,250.00,U.S. Senator John Boozman,BOOZMAN FOR ARKANSAS,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,1000.00,"U.S. Representative Ted Budd, Candidate for U.S. Senate",TED BUDD FOR SENATE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-06-30,1000.00,U.S. Senator John Thune,FRIENDS OF JOHN THUNE,feca,SELF,DC,US,"MARSHALL & POPP, LLC"
2022-03-02,1000.00,"Rep. Tom Rice, Jr.",TOM RICE FOR CONGRESS,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-03-10,1000.00,Rep. Bill Johnson,JOHNSON FOR CONGRESS,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-03-18,1000.00,Rep. Terri Sewell,TERRI SEWELL FOR CONGRESS,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-03-18,1000.00,Rep. Rick Crawford,CRAWFORD FOR CONGRESS,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-04-27,1000.00,Rep. Frank Mrvan,MRVAN FOR CONGRESS,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-05-13,1000.00,Rep. James E. Clyburn,FRIENDS OF JIM CLYBURN,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-06-09,1000.00,Rep. Mike Bost,MIKE BOST FOR CONGRESS COMMITTEE,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-06-22,1000.00,Rep. Dave Joyce,FRIENDS OF DAVE JOYCE,feca,AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE,DC,US,AMERICAN IRON AND STEEL INSTITUTE
2022-01-24,1000.00,Rep. Jack Bergman,BERGMAN FOR CONGRESS,feca,NATIONAL PROPANE GAS ASSOCIATION PAC,DC,US,NATIONAL PROPANE GAS ASSOCIATION
2022-01-24,5000.00,Rep. Jack Bergman,BERGMAN FOR CONGRESS,feca,NATIONAL PROPANE GAS ASSOCIATION PAC,DC,US,NATIONAL PROPANE GAS ASSOCIATION
2022-01-24,5000.00,Blue Dog PAC,BLUE DOG PAC,feca,NATIONAL PROPANE GAS ASSOCIATION PAC,DC,US,NATIONAL PROPANE GAS ASSOCIATION
2022-01-24,5000.00,Sen. Deb Fischer,"DEB FISCHER FOR U.S. SENATE, INC.",feca,NATIONAL PROPANE GAS ASSOCIATION PAC,DC,US,NATIONAL PROPANE GAS ASSOCIATION
2022-01-24,5000.00,Rep. Kurt Schrader,KURT SCHRADER FOR CONGRESS,feca,NATIONAL PROPANE GAS ASSOCIATION PAC,DC,US,NATIONAL PROPANE GAS ASSOCIATION
