,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle
269,M000241,"Mathias, Charles McC., ",Republican,Maryland,,1987.0,1973.0,1961.0,1969.0,N,N,14.0,8.0,Y,Y,Jr.,,Mathias,Charles,McC.
270,M000236,"Mathews, Harlan",Democratic,Tennessee,,1995.0,1993.0,,,N,,2.0,,Y,N,,,Mathews,Harlan,
271,M000113,"Mansfield, Mike",Democratic,Montana,,1977.0,1953.0,1943.0,1953.0,N,N,24.0,10.0,Y,Y,,,Mansfield,Mike,
272,M000053,"Magnuson, Warren G.",Democratic,Washington,,1981.0,1945.0,1937.0,1943.0,N,N,36.0,6.0,Y,Y,,,Magnuson,Warren,G.
273,L000504,"Lugar, Richard G.",Republican,Indiana,,2013.0,1977.0,,,N,,36.0,,Y,N,,,Lugar,Richard,G.
274,L000428,"Long, Russell B.",Democratic,Louisiana,,1987.0,1947.0,,,N,,40.0,,Y,N,,,Long,Russell,B.
275,L000304,"Lieberman, Joseph I.",Independent Democrat,Connecticut,,2013.0,1989.0,,,N,,24.0,,Y,N,,,Lieberman,Joseph,I.
276,L000261,"Levin, Carl",Democratic,Michigan,,2015.0,1979.0,,,N,,36.0,,Y,N,,,Levin,Carl,
277,L000148,"Laxalt, Paul D.",Republican,Nevada,,1987.0,1973.0,,,N,,14.0,,Y,N,,,Laxalt,Paul,D.
278,L000123,"Lautenberg, Frank R.",Democratic,New Jersey,,2001.0,1983.0,,,N,,18.0,,Y,N,,,Lautenberg,Frank,R.
279,K000305,"Kohl, Herb",Democratic,Wisconsin,,2013.0,1989.0,,,N,,24.0,,Y,N,,,Kohl,Herb,
280,K000148,"Kerry, John F.",Democratic,Massachusetts,,2013.0,1985.0,,,N,,28.0,,Y,N,,,Kerry,John,F.
281,K000146,"Kerrey, J. Robert",Democratic,Nebraska,,2001.0,1989.0,,,N,,12.0,,Y,N,,,Kerrey,J.,Robert
282,K000105,"Kennedy, Edward M.",Democratic,Massachusetts,,2009.0,1961.0,,,N,,48.0,,Y,N,,,Kennedy,Edward,M.
283,K000088,"Kempthorne, Dirk",Republican,Idaho,,1999.0,1993.0,,,N,,6.0,,Y,N,,,Kempthorne,Dirk,
284,K000017,"Kassebaum, Nancy Landon",Republican,Kansas,,1997.0,1979.0,,,N,,18.0,,Y,N,,,Kassebaum,Nancy,Landon
285,K000011,"Karnes, David K.",Republican,Nebraska,,1989.0,1987.0,,,N,,2.0,,Y,N,,,Karnes,David,K.
286,J000189,"Johnston, J. Bennett",Democratic,Louisiana,,1997.0,1971.0,,,N,,26.0,,Y,N,,,Johnston,J.,Bennett
