,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year
1406,B000567,"Blouin, Michael",Democratic,Iowa,https://api.congress.gov/v3/member/B000567?format=json,2.0,,,1975,1979
1407,B000556,"Bliley, Tom",Republican,Virginia,https://api.congress.gov/v3/member/B000556?format=json,7.0,,,1981,2001
1408,B000551,"Blaz, Ben G.",Republican,Guam,https://api.congress.gov/v3/member/B000551?format=json,,,,1985,1993
1409,B000550,"Blatnik, John Anton",Democratic,Minnesota,https://api.congress.gov/v3/member/B000550?format=json,8.0,,,1947,1975
1410,B000538,"Blanchard, James",Democratic,Michigan,https://api.congress.gov/v3/member/B000538?format=json,18.0,,,1975,1983
1411,B000517,"Blackwell, Lucien E.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/B000517?format=json,2.0,,,1991,1995
1412,B000506,"Blackburn, Ben",Republican,Georgia,https://api.congress.gov/v3/member/B000506?format=json,4.0,,,1967,1975
1413,B000490,"Bishop, Sanford D., Jr.",Democratic,Georgia,https://api.congress.gov/v3/member/B000490?format=json,2.0,,,1993,
1414,B000472,"Bingham, Jonathan B.",Democratic,New York,https://api.congress.gov/v3/member/B000472?format=json,22.0,,,1965,1983
1415,B000463,"Bilirakis, Michael",Republican,Florida,https://api.congress.gov/v3/member/B000463?format=json,9.0,,,1983,2007
1416,B000462,"Bilbray, James H.",Democratic,Nevada,https://api.congress.gov/v3/member/B000462?format=json,1.0,,,1987,1995
1417,B000451,"Biester, Edward G., Jr.",Republican,Pennsylvania,https://api.congress.gov/v3/member/B000451?format=json,8.0,,,1967,1977
1418,B000432,"Biaggi, Mario",Democratic,New York,https://api.congress.gov/v3/member/B000432?format=json,19.0,,,1969,1989
1419,B000431,"Bevill, Tom",Democratic,Alabama,https://api.congress.gov/v3/member/B000431?format=json,4.0,,,1967,1997
1420,B000422,"Bethune, Ed",Republican,Arkansas,https://api.congress.gov/v3/member/B000422?format=json,2.0,,,1979,1985
1421,B000410,"Berman, Howard L.",Democratic,California,https://api.congress.gov/v3/member/B000410?format=json,28.0,,,1983,2013
1422,B000408,"Bergland, Bob",Republican,Minnesota,https://api.congress.gov/v3/member/B000408?format=json,7.0,,,1971,1979
1423,B000403,"Bereuter, Doug",Republican,Nebraska,https://api.congress.gov/v3/member/B000403?format=json,1.0,,,1979,2004
1424,N000051,"Nethercutt, George R., Jr.",Republican,Washington,https://api.congress.gov/v3/member/N000051?format=json,5.0,,,1995,2005
1425,N000032,"Nelson, Bill",Democratic,Florida,https://api.congress.gov/v3/member/N000032?format=json,,2019,2001,1979,1991
1426,N000028,"Nelsen, Ancher",Republican,Minnesota,https://api.congress.gov/v3/member/N000028?format=json,2.0,,,1959,1975
1427,N000027,"Nelligan, James L.",Republican,Pennsylvania,https://api.congress.gov/v3/member/N000027?format=json,11.0,,,1981,1983
1428,N000019,"Nedzi, Lucien N.",Democratic,Michigan,https://api.congress.gov/v3/member/N000019?format=json,14.0,,,1961,1981
1429,N000016,"Neal, Stephen L.",Democratic,North Carolina,https://api.congress.gov/v3/member/N000016?format=json,5.0,,,1975,1995
1430,N000015,"Neal, Richard E.",Democratic,Massachusetts,https://api.congress.gov/v3/member/N000015?format=json,1.0,,,1989,
1431,N000009,"Natcher, William H.",Democratic,Kentucky,https://api.congress.gov/v3/member/N000009?format=json,2.0,,,1953,1995
1432,N000005,"Napier, John L.",Republican,South Carolina,https://api.congress.gov/v3/member/N000005?format=json,6.0,,,1981,1983
1433,N000003,"Nagle, Dave R,",Democratic,Iowa,https://api.congress.gov/v3/member/N000003?format=json,3.0,,,1987,1993
1434,N000002,"Nadler, Jerrold",Democratic,New York,https://api.congress.gov/v3/member/N000002?format=json,12.0,,,1991,
1435,M001134,"Myrick, Sue Wilkins",Republican,North Carolina,https://api.congress.gov/v3/member/M001134?format=json,9.0,,,1995,2013
1436,M001132,"Myers, Michael O.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M001132?format=json,1.0,,,1977,1981
1437,M001130,"Myers, John T.",Republican,Indiana,https://api.congress.gov/v3/member/M001130?format=json,7.0,,,1967,1997
1438,M001128,"Myers, Gary A.",Republican,Pennsylvania,https://api.congress.gov/v3/member/M001128?format=json,25.0,,,1975,1979
1439,M001123,"Musto,  Raphael",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M001123?format=json,11.0,,,1979,1981
1440,M001101,"Murphy, Morgan F.",Democratic,Illinois,https://api.congress.gov/v3/member/M001101?format=json,2.0,,,1971,1981
1441,M001098,"Murphy, John M.",Democratic,New York,https://api.congress.gov/v3/member/M001098?format=json,17.0,,,1963,1981
1442,M001088,"Murphy, Austin J.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M001088?format=json,20.0,,,1977,1995
1443,M001057,"Mrazek, Robert J.",Democratic,New York,https://api.congress.gov/v3/member/M001057?format=json,3.0,,,1983,1993
1444,M001044,"Mottl, Ronald M.",Democratic,Ohio,https://api.congress.gov/v3/member/M001044?format=json,23.0,,,1975,1983
1445,M001035,"Moss, John E.",Democratic,California,https://api.congress.gov/v3/member/M001035?format=json,3.0,,,1953,1979
1446,M001031,"Mosher, Charles A.",Republican,Ohio,https://api.congress.gov/v3/member/M001031?format=json,13.0,,,1961,1977
1447,M000999,"Morrison, Sid",Republican,Washington,https://api.congress.gov/v3/member/M000999?format=json,4.0,,,1981,1993
1448,M000992,"Morrison, Bruce A.",Democratic,Connecticut,https://api.congress.gov/v3/member/M000992?format=json,3.0,,,1983,1991
1449,M000958,"Morgan, Thomas E.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M000958?format=json,22.0,,,1945,1959
1450,M000941,"Morella, Constance A.",Republican,Maryland,https://api.congress.gov/v3/member/M000941?format=json,8.0,,,1987,2003
1451,M000933,"Moran, James P.",Democratic,Virginia,https://api.congress.gov/v3/member/M000933?format=json,8.0,,,1991,2015
1452,M000930,"Moorhead, William S.",Democratic,Pennsylvania,https://api.congress.gov/v3/member/M000930?format=json,14.0,,,1959,1981
1453,M000926,"Moorhead, Carlos J.",Republican,California,https://api.congress.gov/v3/member/M000926?format=json,27.0,,,1973,1997
1454,M000923,"Moore, W. Henson",Republican,Louisiana,https://api.congress.gov/v3/member/M000923?format=json,6.0,,,1975,1987
