,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House
728,G000562,"Gardner, Cory",Republican,Colorado,https://api.congress.gov/v3/member/G000562?format=json,,2021.0,2015.0,2011.0,2015.0,N,N,6.0,4.0,Y,Y
739,K000374,"Kirk, Paul Grattan, Jr.",Democratic,Massachusetts,https://api.congress.gov/v3/member/K000374?format=json,,2010.0,2009.0,,,N,,1.0,,Y,N
740,S001163,"Salazar, Ken",Democratic,Colorado,https://api.congress.gov/v3/member/S001163?format=json,,2009.0,2005.0,,,N,,4.0,,Y,N
741,C001041,"Clinton, Hillary Rodham",Democratic,New York,https://api.congress.gov/v3/member/C001041?format=json,,2009.0,2001.0,,,N,,8.0,,Y,N
761,H001041,"Heller, Dean",Republican,Nevada,https://api.congress.gov/v3/member/H001041?format=json,,2019.0,2011.0,2007.0,2011.0,N,N,8.0,4.0,Y,Y
773,D000607,"Donnelly, Joe",Democratic,Indiana,https://api.congress.gov/v3/member/D000607?format=json,,2019.0,2013.0,2007.0,2013.0,N,N,6.0,6.0,Y,Y
840,K000373,"Kaufman, Edward E.",Democratic,Delaware,https://api.congress.gov/v3/member/K000373?format=json,,2010.0,2009.0,,,N,,1.0,,Y,N
841,B001266,"Burris, Roland",Democratic,Illinois,https://api.congress.gov/v3/member/B001266?format=json,,2010.0,2009.0,,,N,,1.0,,Y,N
842,H001049,"Hagan, Kay R.",Democratic,North Carolina,https://api.congress.gov/v3/member/H001049?format=json,,2015.0,2009.0,,,N,,6.0,,Y,N
843,J000291,"Johanns, Mike",Republican,Nebraska,https://api.congress.gov/v3/member/J000291?format=json,,2015.0,2009.0,,,N,,6.0,,Y,N
844,B001265,"Begich, Mark",Democratic,Alaska,https://api.congress.gov/v3/member/B001265?format=json,,2015.0,2009.0,,,N,,6.0,,Y,N
855,K000333,"Krueger, Robert C.",Democratic,Texas,https://api.congress.gov/v3/member/K000333?format=json,,1995.0,1993.0,1975.0,1979.0,N,N,2.0,4.0,Y,Y
856,D000294,"DeWine, Mike",Republican,Ohio,https://api.congress.gov/v3/member/D000294?format=json,,2007.0,1995.0,1983.0,1991.0,N,N,12.0,8.0,Y,Y
857,D000064,"Daschle, Thomas A.",Democratic,South Dakota,https://api.congress.gov/v3/member/D000064?format=json,,2005.0,1987.0,1979.0,1987.0,N,N,18.0,8.0,Y,Y
867,R000146,"Reid, Harry",Democratic,Nevada,https://api.congress.gov/v3/member/R000146?format=json,,2017.0,1987.0,1983.0,1987.0,N,N,30.0,4.0,Y,Y
882,Q000007,"Quayle, Dan",Republican,Indiana,https://api.congress.gov/v3/member/Q000007?format=json,,1991.0,1981.0,1977.0,1981.0,N,N,10.0,4.0,Y,Y
889,P000513,"Pressler, Larry",Republican,South Dakota,https://api.congress.gov/v3/member/P000513?format=json,,1997.0,1979.0,1975.0,1979.0,N,N,18.0,4.0,Y,Y
908,P000218,"Pepper, Claude",Democratic,Florida,https://api.congress.gov/v3/member/P000218?format=json,18.0,1951.0,1935.0,1963.0,1991.0,N,N,16.0,28.0,Y,Y
947,I000055,"Isakson, Johnny",Republican,Georgia,https://api.congress.gov/v3/member/I000055?format=json,,2019.0,2005.0,1999.0,2005.0,N,N,14.0,6.0,Y,Y
948,D000595,"DeMint, Jim",Republican,South Carolina,https://api.congress.gov/v3/member/D000595?format=json,,2013.0,2005.0,1999.0,2005.0,N,N,8.0,6.0,Y,Y
953,U000038,"Udall, Mark",Democratic,Colorado,https://api.congress.gov/v3/member/U000038?format=json,,2015.0,2009.0,1999.0,2009.0,N,N,6.0,10.0,Y,Y
972,V000126,"Voinovich, George V.",Republican,Ohio,https://api.congress.gov/v3/member/V000126?format=json,,2011.0,1999.0,,,N,,12.0,,Y,N
973,E000286,"Edwards, John",Democratic,North Carolina,https://api.congress.gov/v3/member/E000286?format=json,,2005.0,1999.0,,,N,,6.0,,Y,N
974,B001233,"Bayh, Evan",Democratic,Indiana,https://api.congress.gov/v3/member/B001233?format=json,,2011.0,1999.0,,,N,,12.0,,Y,N
975,F000442,"Fitzgerald, Peter",Republican,Illinois,https://api.congress.gov/v3/member/F000442?format=json,,2005.0,1999.0,,,N,,6.0,,Y,N
976,V000127,"Vitter, David",Republican,Louisiana,https://api.congress.gov/v3/member/V000127?format=json,,2017.0,2005.0,1999.0,2005.0,N,N,12.0,6.0,Y,Y
977,U000039,"Udall, Tom",Democratic,New Mexico,https://api.congress.gov/v3/member/U000039?format=json,,2021.0,2009.0,1999.0,2009.0,N,N,12.0,10.0,Y,Y
988,S001141,"Sessions, Jeff",Republican,Alabama,https://api.congress.gov/v3/member/S001141?format=json,,2017.0,1997.0,,,N,,20.0,,Y,N
989,H001028,"Hagel, Chuck",Republican,Nebraska,https://api.congress.gov/v3/member/H001028?format=json,,2009.0,1997.0,,,N,,12.0,,Y,N
990,E000285,"Enzi, Michael B.",Republican,Wyoming,https://api.congress.gov/v3/member/E000285?format=json,,2021.0,1997.0,,,N,,24.0,,Y,N
991,C001034,"Cleland, Max",Democratic,Georgia,https://api.congress.gov/v3/member/C001034?format=json,,2003.0,1997.0,,,N,,6.0,,Y,N
996,S001078,"Sununu, John E.",Republican,New Hampshire,https://api.congress.gov/v3/member/S001078?format=json,,2009.0,2003.0,1997.0,2003.0,N,N,6.0,6.0,Y,Y
1061,Z000013,"Zorinsky, Edward",Democratic,Nebraska,https://api.congress.gov/v3/member/Z000013?format=json,,1989.0,1977.0,,,N,,12.0,,Y,N
1062,Y000047,"Young, Milton R.",Republican,North Dakota,https://api.congress.gov/v3/member/Y000047?format=json,,1981.0,1945.0,,,N,,36.0,,Y,N
1063,W000665,"Wofford, Harris",Democratic,Pennsylvania,https://api.congress.gov/v3/member/W000665?format=json,,1995.0,1991.0,,,N,,4.0,,Y,N
