,Unnamed: 0,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle,First Last,2013 Contributions,2014 Contributions,2015 Contributions,2016 Contributions,2017 Contributions,2018 Contributions,2019 Contributions,2020 Contributions,2021 Contributions,2022 Contributions,Total Contributions 2013-2022
170,170,W000607,"Wilson, Pete",Republican,California,,1993.0,1983.0,,,N,,10.0,,Y,N,,,Wilson,Pete,,Pete Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,171,W000502,"Williams, Harrison A., ",Democratic,New Jersey,,1982.0,1959.0,1953.0,1957.0,N,N,23.0,4.0,Y,Y,Jr.,,Williams,Harrison,A.,Harrison Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,172,W000288,"Wellstone, Paul D.",Democratic,Minnesota,,2002.0,1991.0,,,N,,11.0,,Y,N,,,Wellstone,Paul,D.,Paul Wellstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,173,W000253,"Weicker, Lowell P., ",Republican,Connecticut,,1989.0,1973.0,1969.0,1971.0,N,N,16.0,2.0,Y,Y,Jr.,,Weicker,Lowell,P.,Lowell Weicker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,174,W000092,"Wallop, Malcolm",Republican,Wyoming,,1995.0,1977.0,,,N,,18.0,,Y,N,,,Wallop,Malcolm,,Malcolm Wallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,175,T000410,"Tunney, John V.",Democratic,California,,1977.0,1973.0,1965.0,1973.0,N,N,4.0,8.0,Y,Y,,,Tunney,John,V.,John Tunney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,176,T000322,"Tower, John G.",Republican,Texas,,1985.0,1961.0,,,N,,24.0,,Y,N,,,Tower,John,G.,John Tower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,177,T000457,"Thompson, Fred",Republican,Tennessee,,2003.0,1994.0,,,N,,9.0,,Y,N,,,Thompson,Fred,,Fred Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,178,B000401,"Bentsen, Lloyd M.",Democratic,Texas,,1993.0,1971.0,1947.0,1955.0,N,N,22.0,8.0,Y,Y,,,Bentsen,Lloyd,M.,Lloyd Bentsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,179,B000384,"Bennett, Wallace F.",Republican,Utah,,1975.0,1951.0,,,N,,24.0,,Y,N,,,Bennett,Wallace,F.,Wallace Bennett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,180,B000382,"Bennett, Robert F.",Republican,Utah,,2011.0,1993.0,,,N,,18.0,,Y,N,,,Bennett,Robert,F.,Robert Bennett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,181,B000351,"Bellmon, Henry L.",Republican,Oklahoma,,1981.0,1969.0,,,N,,12.0,,Y,N,,,Bellmon,Henry,L.,Henry Bellmon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,182,B000272,"Beall, J. Glenn, ",Republican,Maryland,,1977.0,1973.0,1969.0,1971.0,N,N,4.0,2.0,Y,Y,Jr.,,Beall,J.,Glenn,J. Beall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,183,B000254,"Bayh, Birch",Democratic,Indiana,,1981.0,1963.0,,,N,,18.0,,Y,N,,,Bayh,Birch,,Birch Bayh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,184,B000200,"Bartlett, Dewey F.",Republican,Oklahoma,,1979.0,1973.0,,,N,,6.0,,Y,N,,,Bartlett,Dewey,F.,Dewey Bartlett,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
185,185,B000063,"Baker, Howard H., ",Republican,Tennessee,,1985.0,1967.0,,,N,,18.0,,Y,N,Jr.,,Baker,Howard,H.,Howard Baker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,186,A000356,"Ashcroft, John",Republican,Missouri,,2001.0,1995.0,,,N,,6.0,,Y,N,,,Ashcroft,John,,John Ashcroft,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
187,187,A000202,"Anderson, Wendell R.",Democratic,Minnesota,,1979.0,1977.0,,,N,,2.0,,Y,N,,,Anderson,Wendell,R.,Wendell Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,188,A000139,"Allen, Maryon",Democratic,Alabama,,1979.0,1977.0,,,N,,2.0,,Y,N,,,Allen,Maryon,,Maryon Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,189,A000127,"Allen, James B.",Democratic,Alabama,,1979.0,1969.0,,,N,,10.0,,Y,N,,,Allen,James,B.,James Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0
190,190,A000062,"Aiken, George",Republican,Vermont,,1975.0,1941.0,,,N,,34.0,,Y,N,,,Aiken,George,,George Aiken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,191,A000355,"Abraham, Spencer",Republican,Michigan,,2001.0,1995.0,,,N,,6.0,,Y,N,,,Abraham,Spencer,,Spencer Abraham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,192,W000782,"Wyman, Louis C.",Republican,New Hampshire,,1975.0,1974.0,1963.0,1965.0,N,N,1.0,2.0,Y,Y,,,Wyman,Louis,C.,Louis Wyman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
